steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.0,1,0.0,2.0
3,3,0.8,1,0.8,2.2
4,4,1.6,1,0.8,2.4000000000000004
5,5,1.7000000000000002,1,0.1,3.3000000000000003
6,6,2.2,1,0.5,3.8000000000000003
7,7,2.5,1,0.30000000000000004,4.5
8,8,2.6,1,0.1,5.4
9,9,3.0,1,0.4,6.0
10,10,3.1,1,0.1,6.9
12,12,3.5,1,0.4,8.5
14,14,4.5,1,0.1,9.5
17,17,5.0,1,0.0,12.0
20,20,6.0,1,0.7000000000000001,14.0
25,25,7.699999999999999,1,0.1,17.3
30,30,9.0,1,0.1,20.999999999999996
40,40,15.3,1,1.0,24.699999999999996
50,50,20.500000000000004,1,0.2,29.49999999999999
60,60,26.599999999999998,1,0.9,33.39999999999999
70,70,33.3,1,0.30000000000000004,36.699999999999996
80,80,38.699999999999996,1,0.7000000000000001,41.3
90,90,44.7,1,0.2,45.29999999999999
100,100,50.7,1,0.8,49.29999999999999
120,120,57.5,1,0.4,62.49999999999999
140,140,68.99999999999999,1,0.30000000000000004,71.0
170,170,83.5,1,0.6000000000000001,86.49999999999999
200,200,97.29999999999998,1,0.6000000000000001,102.7
250,250,121.49999999999996,1,0.1,128.50000000000003
300,300,147.3,1,0.5,152.69999999999993
400,400,197.9000000000001,1,0.6000000000000001,202.09999999999985
500,500,250.8000000000003,1,0.4,249.19999999999965
600,600,297.5000000000002,1,0.1,302.49999999999966
700,700,343.4000000000002,1,0.30000000000000004,356.5999999999997
800,800,395.80000000000007,1,0.4,404.1999999999998
900,900,444.10000000000014,1,1.0,455.89999999999975
1000,1000,491.20000000000016,1,0.7000000000000001,508.7999999999997
1200,1200,665.9000000000004,1,1.0,534.0999999999993
1400,1400,859.0000000000002,1,1.0,540.9999999999995
1700,1700,1149.6000000000001,1,1.0,550.3999999999996
2000,2000,1445.0000000000002,1,1.0,554.9999999999995
2500,2500,1925.6000000000004,1,1.0,574.3999999999996
3000,3000,2412.5,1,1.0,587.4999999999995
4000,4000,3389.100000000001,1,1.0,610.8999999999997
5000,5000,4365.5,1,1.0,634.4999999999995
6000,6000,5342.399999999998,1,1.0,657.5999999999997
7000,7000,6320.400000000001,1,1.0,679.5999999999997
8000,8000,7288.8,1,1.0,711.2
9000,9000,8269.300000000001,1,1.0,730.7000000000002
10000,10000,9241.9,1,1.0,758.1000000000003
