steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1000.0,1,-1000.0,2.0
2,2,-2000.0,1,-1000.0,4.0
3,3,-3000.0,1,-1000.0,6.0
4,4,-2000.0,1,1000.0,6.0
5,5,-3000.0,1,-1000.0,8.0
6,6,-4000.0,1,-1000.0,10.0
7,7,-5000.0,1,-1000.0,12.0
8,8,-6000.0,1,-1000.0,14.0
9,9,-7000.0,1,-1000.0,16.0
10,10,-8000.0,1,-1000.0,18.0
12,12,-10000.0,1,-1000.0,22.0
14,14,-12000.0,1,-1000.0,26.0
17,17,-15000.0,1,-1000.0,32.0
20,20,-18000.0,1,-1000.0,38.0
25,25,-23000.0,1,-1000.0,48.0
30,30,-28000.0,1,-1000.0,58.0
40,40,-36000.0,1,-1000.0,76.0
50,50,-42000.0,1,-1000.0,92.0
60,60,-48000.0,1,1000.0,108.0
70,70,-56000.0,1,-1000.0,126.0
80,80,-64000.0,1,1000.0,144.0
90,90,-68000.0,1,-1000.0,158.0
100,100,-78000.0,1,-1000.0,178.0
120,120,-90000.0,1,-1000.0,210.0
140,140,-102000.0,1,1000.0,242.0
170,170,-128000.0,1,-1000.0,298.0
200,200,-152000.0,1,-1000.0,352.0
250,250,-192000.0,1,1000.0,442.0
300,300,-232000.0,1,-1000.0,532.0
400,400,-314000.0,1,-1000.0,714.0
500,500,-384000.0,1,-1000.0,884.0
600,600,-466000.0,1,-1000.0,1066.0
700,700,-548000.0,1,1000.0,1248.0
800,800,-626000.0,1,-1000.0,1426.0
900,900,-708000.0,1,-1000.0,1608.0
1000,1000,-780000.0,1,-1000.0,1780.0
1200,1200,-938000.0,1,-1000.0,2138.0
1400,1400,-1104000.0,1,-1000.0,2504.0
1700,1700,-1340000.0,1,-1000.0,3040.0
2000,2000,-1588000.0,1,-1000.0,3588.0
2500,2500,-2002000.0,1,-1000.0,4502.0
3000,3000,-2398000.0,1,-1000.0,5398.0
4000,4000,-3186000.0,1,-1000.0,7186.0
5000,5000,-4002000.0,1,-1000.0,9002.0
6000,6000,-4824000.0,1,-1000.0,10824.0
7000,7000,-5628000.0,1,-1000.0,12628.0
8000,8000,-6412000.0,1,-1000.0,14412.0
9000,9000,-7180000.0,1,1000.0,16180.0
10000,10000,-7942000.0,1,-1000.0,17942.0
