steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-4.0,20,-4.0,2.0
40,2,-4.0,20,0.0,2.0
60,3,0.0,20,4.0,4.0
80,4,2.0,20,2.0,6.0
100,5,2.0,20,0.0,6.0
120,6,2.0,20,0.0,6.0
140,7,0.0,20,-2.0,8.0
160,8,-4.0,20,-4.0,10.0
180,9,2.0,20,6.0,10.0
200,10,-6.0,20,-8.0,12.0
240,12,2.0,20,2.0,12.0
280,14,6.0,20,4.0,14.0
340,17,2.0,20,-2.0,16.0
400,20,2.0,20,0.0,18.0
500,25,-2.0,20,-2.0,22.0
600,30,-12.0,20,0.0,32.0
800,40,6.0,20,8.0,46.0
1000,50,6.0,20,2.0,58.0
1200,60,12.0,20,6.0,66.0
1400,70,28.0,20,4.0,76.0
1600,80,20.0,20,0.0,82.0
1800,90,12.0,20,-2.0,94.0
2000,100,0.0,20,2.0,106.0
2400,120,-22.0,20,-4.0,118.0
2800,140,0.0,20,0.0,134.0
3400,170,-20.0,20,2.0,168.0
4000,200,-30.0,20,0.0,202.0
5000,250,-38.0,20,8.0,254.0
6000,300,-90.0,20,-2.0,302.0
8000,400,-166.0,20,-2.0,404.0
10000,500,-130.0,20,4.0,512.0
12000,600,-66.0,20,-4.0,624.0
14000,700,-64.0,20,6.0,736.0
16000,800,-100.0,20,-8.0,862.0
18000,900,-284.0,20,0.0,996.0
20000,1000,-302.0,20,-4.0,1134.0
24000,1200,-256.0,20,2.0,1400.0
28000,1400,-336.0,20,2.0,1664.0
34000,1700,-342.0,20,4.0,1994.0
40000,2000,-380.0,20,2.0,2276.0
50000,2500,-212.0,20,4.0,2716.0
60000,3000,-74.0,20,0.0,3180.0
80000,4000,252.0,20,10.0,4018.0
100000,5000,520.0,20,-12.0,4910.0
120000,6000,724.0,20,-2.0,5806.0
140000,7000,1082.0,20,0.0,6404.0
160000,8000,1454.0,20,-2.0,6932.0
180000,9000,2072.0,20,0.0,7366.0
200000,10000,2722.0,20,0.0,7686.0
