steps,episode,total_return,episode_len,episode_return,total_regret
100,1,4.0,100,4.0,2.0
200,2,6.0,100,2.0,4.0
300,3,4.0,100,-2.0,6.0
400,4,-4.0,100,-8.0,6.0
500,5,6.0,100,10.0,8.0
600,6,-14.0,100,-20.0,8.0
700,7,-18.0,100,-4.0,10.0
800,8,-18.0,100,0.0,10.0
900,9,-38.0,100,-20.0,12.0
1000,10,-18.0,100,20.0,12.0
1200,12,-16.0,100,-2.0,16.0
1400,14,-30.0,100,-14.0,16.0
1700,17,-42.0,100,-10.0,16.0
2000,20,-28.0,100,6.0,20.0
2500,25,-40.0,100,-10.0,28.0
3000,30,-20.0,100,24.0,30.0
4000,40,-16.0,100,-4.0,38.0
5000,50,-82.0,100,-12.0,50.0
6000,60,-76.0,100,-4.0,66.0
7000,70,-102.0,100,2.0,72.0
8000,80,-128.0,100,6.0,78.0
9000,90,-116.0,100,10.0,90.0
10000,100,-114.0,100,2.0,100.0
12000,120,-146.0,100,-10.0,126.0
14000,140,-180.0,100,16.0,142.0
17000,170,-160.0,100,4.0,164.0
20000,200,-142.0,100,-8.0,194.0
25000,250,-208.0,100,16.0,234.0
30000,300,-110.0,100,-2.0,280.0
40000,400,-86.0,100,-8.0,374.0
50000,500,-132.0,100,-12.0,466.0
60000,600,-96.0,100,4.0,564.0
70000,700,76.0,100,6.0,668.0
80000,800,174.0,100,6.0,768.0
90000,900,144.0,100,0.0,852.0
100000,1000,282.0,100,10.0,952.0
120000,1200,424.0,100,-12.0,1178.0
140000,1400,332.0,100,18.0,1384.0
170000,1700,194.0,100,2.0,1690.0
200000,2000,316.0,100,-4.0,1978.0
250000,2500,332.0,100,2.0,2502.0
300000,3000,322.0,100,-2.0,3006.0
400000,4000,-80.0,100,8.0,4004.0
500000,5000,276.0,100,6.0,5004.0
600000,6000,-326.0,100,-16.0,6004.0
700000,7000,-198.0,100,-4.0,7022.0
800000,8000,-446.0,100,22.0,8048.0
900000,9000,-976.0,100,0.0,9084.0
1000000,10000,-1268.0,100,6.0,10126.0
