steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,1.2000000000000002,1,0.7000000000000001,0.7999999999999999
3,3,1.7000000000000002,1,0.5,1.2999999999999998
4,4,1.8000000000000003,1,0.1,2.1999999999999997
5,5,2.7,1,0.9,2.3
6,6,3.6,1,0.9,2.4
7,7,3.8000000000000003,1,0.2,3.2
8,8,4.5,1,0.7000000000000001,3.5
9,9,5.3,1,0.8,3.7
10,10,6.1,1,0.8,3.9000000000000004
12,12,6.8,1,0.30000000000000004,5.2
14,14,7.6,1,0.0,6.4
17,17,8.399999999999999,1,0.2,8.600000000000001
20,20,10.399999999999999,1,0.6000000000000001,9.600000000000001
25,25,12.499999999999998,1,0.2,12.500000000000002
30,30,15.9,1,0.8,14.1
40,40,19.999999999999996,1,0.9,20.000000000000004
50,50,24.599999999999994,1,0.4,25.400000000000006
60,60,28.599999999999994,1,0.5,31.400000000000006
70,70,33.49999999999999,1,0.8,36.500000000000014
80,80,36.5,1,0.30000000000000004,43.50000000000001
90,90,41.1,1,0.8,48.900000000000006
100,100,47.10000000000001,1,0.5,52.9
120,120,57.00000000000001,1,0.7000000000000001,63.0
140,140,65.69999999999999,1,0.1,74.30000000000001
170,170,80.0,1,0.1,90.0
200,200,95.5,1,0.5,104.5
250,250,119.80000000000004,1,0.4,130.19999999999996
300,300,147.00000000000003,1,0.9,152.99999999999994
400,400,204.3,1,0.2,195.69999999999996
500,500,257.7,1,0.9,242.29999999999995
600,600,303.19999999999993,1,0.4,296.79999999999995
700,700,349.4000000000001,1,0.0,350.5999999999998
800,800,401.00000000000017,1,0.9,398.9999999999997
900,900,444.80000000000007,1,0.30000000000000004,455.1999999999998
1000,1000,494.6000000000003,1,0.1,505.3999999999996
1200,1200,592.8000000000002,1,0.5,607.1999999999992
1400,1400,689.4,1,1.0,710.5999999999995
1700,1700,832.3,1,0.6000000000000001,867.6999999999995
2000,2000,985.9999999999995,1,0.6000000000000001,1013.9999999999999
2500,2500,1230.4999999999986,1,1.0,1269.5000000000007
3000,3000,1463.3999999999965,1,0.2,1536.6000000000029
4000,4000,1973.8999999999921,1,0.30000000000000004,2026.1000000000072
5000,5000,2474.999999999992,1,0.8,2525.0000000000077
6000,6000,2973.799999999994,1,0.6000000000000001,3026.2000000000057
7000,7000,3461.7999999999943,1,1.0,3538.2000000000053
8000,8000,3969.9999999999964,1,0.9,4030.000000000003
9000,9000,4458.100000000008,1,0.0,4541.8999999999905
10000,10000,4962.000000000018,1,0.5,5037.99999999998
