steps,episode,total_return,episode_len,episode_return,total_regret
1,1,2.480900503916608,1,2.480900503916608,0.7
2,2,-2.003237870017312,1,-4.48413837393392,0.7999999999999999
3,3,-2.6348757537064578,1,-0.6316378836891458,1.4
4,4,-4.248984150762252,1,-1.6141083970557941,1.5999999999999999
5,5,-3.738211889800213,1,0.510772260962039,1.6999999999999997
6,6,-7.503755273885094,1,-3.765543384084881,2.6999999999999997
7,7,-2.372199311967254,1,5.13155596191784,2.8
8,8,2.171169973312659,1,4.543369285279913,2.9
9,9,2.6838355238751888,1,0.5126655505625297,3.8
10,10,4.842614153639429,1,2.1587786297642406,4.3
12,12,-1.724394074469126,1,-1.5194620850084302,6.2
14,14,-4.10688085251315,1,-2.9533924137084644,8.100000000000001
17,17,-4.946803696932699,1,-2.1247638057622575,10.000000000000002
20,20,1.6250831420577705,1,2.918130410563051,11.000000000000002
25,25,8.541094086770713,1,2.8591921694717133,12.300000000000002
30,30,4.746290970637915,1,-4.13624892492078,13.900000000000002
40,40,-0.7599203667022749,1,3.9447845765808838,19.0
50,50,20.992065660107485,1,-8.550497007059695,23.3
60,60,19.734582473029786,1,-0.24456309323530928,30.100000000000005
70,70,36.03216415552268,1,1.9008405867570117,34.80000000000002
80,80,55.07334581122882,1,1.8569810228366217,39.200000000000024
90,90,45.583212960989556,1,0.4805752392922873,45.300000000000026
100,100,44.40391807415354,1,9.651095826832208,51.000000000000014
120,120,49.586206585149924,1,-2.1518752794690306,59.00000000000003
140,140,45.092214650029014,1,-2.717355488239216,67.80000000000003
170,170,83.14640608406532,1,3.3105900914207043,79.9
200,200,110.08640477874933,1,-1.7526958831754376,94.70000000000002
250,250,123.32523018549524,1,0.41638674989710467,117.90000000000006
300,300,101.58018294107171,1,0.04468064815017336,142.50000000000003
400,400,95.488831508153,1,1.7801947011152255,192.20000000000005
500,500,141.90078712839147,1,-5.611384992843335,239.79999999999995
600,600,167.1701211316846,1,1.2048614088730403,288.40000000000003
700,700,261.4514039878766,1,-2.802895175917614,338.2999999999998
800,800,344.85097874980767,1,-1.735064887376083,383.29999999999995
900,900,424.0436768885538,1,1.7779821365658508,434.39999999999975
1000,1000,455.7014004314406,1,-0.23236812068009327,486.7999999999998
1200,1200,565.2281605992097,1,4.183418612587011,579.1000000000001
1400,1400,689.7393113127741,1,-4.417232611126727,674.000000000001
1700,1700,888.3578711846143,1,0.24029537029848644,823.0000000000017
2000,2000,995.6118475302001,1,2.555192543115581,961.400000000002
2500,2500,1124.3267462146173,1,1.9804635230548326,1203.8000000000015
3000,3000,1301.8282885564681,1,-3.4533179187620346,1455.9000000000003
4000,4000,1995.1242226129682,1,-0.21627753289718243,1949.5000000000011
5000,5000,2590.7282646354147,1,-0.36025915180901363,2466.000000000006
6000,6000,3145.723268263982,1,2.617538155479891,2965.900000000001
7000,7000,3674.8467380906727,1,-2.4360095847357024,3472.5000000000036
8000,8000,4152.365089870727,1,-3.1986441852229195,3962.100000000002
9000,9000,4681.884984580894,1,-0.19122648848439794,4461.000000000008
10000,10000,5273.281644779201,1,-0.7782634725275227,4952.80000000002
