steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,0.5,1,0.0,1.5
3,3,1.5,1,1.0,1.5
4,4,1.7,1,0.2,2.3
5,5,2.0,1,0.30000000000000004,3.0
6,6,3.0,1,1.0,3.0
7,7,3.8,1,0.8,3.2
8,8,4.6,1,0.8,3.4000000000000004
9,9,4.8999999999999995,1,0.30000000000000004,4.1000000000000005
10,10,4.999999999999999,1,0.1,5.000000000000001
12,12,6.199999999999999,1,0.4,5.800000000000001
14,14,6.8999999999999995,1,0.0,7.1000000000000005
17,17,8.5,1,0.30000000000000004,8.5
20,20,10.200000000000001,1,0.9,9.799999999999999
25,25,11.900000000000002,1,0.0,13.099999999999998
30,30,15.500000000000002,1,1.0,14.499999999999998
40,40,20.500000000000004,1,1.0,19.499999999999996
50,50,25.000000000000004,1,0.4,24.999999999999996
60,60,29.300000000000008,1,0.30000000000000004,30.699999999999992
70,70,34.800000000000004,1,0.2,35.19999999999999
80,80,40.0,1,1.0,39.99999999999999
90,90,43.800000000000004,1,0.30000000000000004,46.19999999999999
100,100,48.6,1,0.4,51.39999999999999
120,120,57.300000000000004,1,0.4,62.69999999999999
140,140,66.7,1,0.7000000000000001,73.29999999999997
170,170,76.39999999999998,1,0.8,93.6
200,200,92.69999999999997,1,0.0,107.3
250,250,116.9,1,0.2,133.09999999999994
300,300,141.89999999999995,1,0.1,158.09999999999994
400,400,193.40000000000003,1,1.0,206.59999999999985
500,500,238.80000000000013,1,0.6000000000000001,261.19999999999976
600,600,289.3000000000002,1,0.8,310.69999999999976
700,700,337.4999999999999,1,1.0,362.50000000000006
800,800,383.19999999999976,1,0.4,416.8000000000002
900,900,432.7,1,0.4,467.29999999999995
1000,1000,484.59999999999974,1,0.1,515.4000000000003
1200,1200,589.8000000000001,1,0.6000000000000001,610.2000000000002
1400,1400,683.4999999999998,1,0.30000000000000004,716.5000000000005
1700,1700,830.8000000000008,1,0.5,869.1999999999995
2000,2000,972.4000000000007,1,0.30000000000000004,1027.5999999999997
2500,2500,1226.4999999999984,1,0.5,1273.500000000002
3000,3000,1471.8999999999992,1,0.8,1528.1000000000013
4000,4000,1977.1999999999982,1,0.4,2022.8000000000022
5000,5000,2478.2999999999925,1,0.7000000000000001,2521.700000000007
6000,6000,2977.0999999999863,1,0.4,3022.9000000000133
7000,7000,3482.0999999999867,1,0.30000000000000004,3517.900000000013
8000,8000,3988.39999999999,1,0.8,4011.6000000000095
9000,9000,4498.999999999993,1,0.1,4501.000000000006
10000,10000,4989.499999999983,1,0.1,5010.500000000016
