steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.0045000000000000005,20,-0.0045000000000000005,1,0
40,2,-0.010000000000000005,20,-0.005500000000000001,2,0
60,3,-0.01550000000000001,20,-0.005500000000000001,3,0
80,4,-0.022000000000000016,20,-0.006500000000000002,4,0
100,5,-0.02700000000000002,20,-0.005000000000000001,5,0
120,6,-0.031000000000000024,20,-0.004,6,0
140,7,-0.035000000000000024,20,-0.004,7,0
160,8,-0.03850000000000003,20,-0.0035,8,0
180,9,-0.04500000000000003,20,-0.006500000000000002,9,0
200,10,-0.04950000000000004,20,-0.0045000000000000005,10,0
240,12,-0.060000000000000046,20,-0.005500000000000001,12,0
280,14,-0.07050000000000005,20,-0.005500000000000001,14,0
340,17,-0.08300000000000006,20,-0.004,17,0
400,20,-0.09850000000000007,20,-0.0035,20,0
500,25,-0.12500000000000008,20,-0.005500000000000001,25,0
600,30,-0.1515000000000001,20,-0.005000000000000001,30,0
800,40,-0.20700000000000016,20,-0.005500000000000001,40,0
1000,50,-0.2575000000000002,20,-0.0045000000000000005,50,0
1200,60,-0.3125000000000002,20,-0.005500000000000001,60,0
1400,70,-0.36050000000000026,20,-0.005000000000000001,70,0
1600,80,-0.4125000000000003,20,-0.005500000000000001,80,0
1800,90,-0.46250000000000036,20,-0.005500000000000001,90,0
2000,100,-0.5129999999999989,20,-0.006500000000000002,100,0
2400,120,-0.6139999999999878,20,-0.006000000000000002,120,0
2800,140,-0.7229999999999758,20,-0.007000000000000003,140,0
3400,170,-0.8709999999999595,20,-0.004,170,0
4000,200,-1.0384999999999411,20,-0.006000000000000002,200,0
5000,250,-1.2864999999999138,20,-0.007000000000000003,250,0
6000,300,-1.539999999999886,20,-0.0045000000000000005,300,0
8000,400,-2.034999999999847,20,-0.0045000000000000005,400,0
10000,500,-2.526000000000011,20,-0.006500000000000002,500,0
12000,600,-2.987000000000165,20,-0.005000000000000001,600,0
14000,700,-3.4080000000003055,20,-0.0045000000000000005,700,0
16000,800,-3.805500000000438,20,-0.0035,800,0
18000,900,-4.181000000000402,20,-0.0035,900,0
20000,1000,-4.550500000000198,20,-0.004,1000,0
24000,1200,-5.266499999999801,20,-0.0045000000000000005,1200,0
28000,1400,-6.0229999999993815,20,-0.0025,1400,0
34000,1700,-7.387499999998625,20,-0.0045000000000000005,1700,0
40000,2000,-8.875999999999356,20,-0.0045000000000000005,2000,0
50000,2500,-11.165000000002154,20,-0.0045000000000000005,2500,0
60000,3000,-12.742000000004081,20,-0.0025,3000,0
80000,4000,-16.211500000007568,20,-0.002,4000,0
100000,5000,-19.324000000000314,20,-0.004,5000,0
120000,6000,-24.287499999988746,20,-0.003,6000,0
140000,7000,-29.53399999997652,20,-0.005500000000000001,7000,0
160000,8000,-34.627499999983314,20,-0.0045000000000000005,8000,0
180000,9000,-38.236000000000544,20,-0.001,9000,0
200000,10000,-41.191000000014654,20,-0.0025,10000,0
