steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.006666666666666665,30,-0.006666666666666665,1,0
60,2,-0.011333333333333329,30,-0.004666666666666667,2,0
90,3,-0.016333333333333328,30,-0.005,3,0
120,4,-0.02200000000000002,30,-0.005666666666666666,4,0
150,5,-0.027333333333333376,30,-0.005333333333333333,5,0
180,6,-0.034000000000000044,30,-0.006666666666666665,6,0
210,7,-0.04066666666666667,30,-0.006666666666666665,7,0
240,8,-0.04599999999999997,30,-0.005333333333333333,7,0
270,9,1.0662308760098744,30,1.1122308760098745,8,0
300,10,1.060230876009875,30,-0.005999999999999999,9,0
360,12,1.0495642093432096,30,-0.0036666666666666675,11,0
420,14,0.6936574046762656,30,-0.005666666666666666,13,0
510,17,-0.5049252761937515,30,-1.1862493475366855,16,0
600,20,-0.51892527619375,30,-0.005,19,0
750,25,0.8092923313815739,30,-0.005333333333333333,23,0
900,30,0.7822923313815768,30,-0.006333333333333332,28,0
1200,40,1.2086860471546976,30,-0.002666666666666667,37,0
1500,50,0.30697466005408475,30,-0.004333333333333334,47,0
1800,60,2.171247524644007,30,-0.006666666666666665,57,0
2100,70,0.36074439923253243,30,-0.5392300746406546,67,0
2400,80,0.3074110658991961,30,-0.004000000000000001,76,0
2700,90,-0.1957608788741149,30,-0.004666666666666667,86,0
3000,100,0.5890345931521254,30,-0.005,96,0
3600,120,-0.2611773585271414,30,-0.005999999999999999,116,0
4200,140,1.0222735823304288,30,0.9815673916102717,136,0
5100,170,1.339253854405372,30,-0.0036666666666666675,166,0
6000,200,0.710003378995371,30,-0.004333333333333334,196,0
7500,250,-1.6886921537020143,30,-0.005333333333333333,244,0
9000,300,-4.4733608783091645,30,-0.005666666666666666,290,0
12000,400,-13.36275392949459,30,-0.0073333333333333315,387,0
15000,500,-16.789457486036667,30,-0.005,483,0
18000,600,-10.534989684344339,30,-0.004666666666666667,581,0
21000,700,-10.271452773921695,30,-0.005,677,0
24000,800,-8.232136099284364,30,-0.004666666666666667,772,0
27000,900,-10.828161840172985,30,-0.004666666666666667,869,0
30000,1000,-12.643218494964609,30,-0.3633762087549978,968,0
36000,1200,-17.90774386040866,30,-0.0030000000000000005,1159,0
42000,1400,-24.21077335845937,30,-0.004000000000000001,1353,0
51000,1700,-44.18406717798755,30,-0.005333333333333333,1634,0
60000,2000,-52.02201846381103,30,-0.004666666666666667,1927,0
75000,2500,-57.93930561145621,30,-0.005,2407,0
90000,3000,-62.878281390696586,30,-0.005,2901,0
120000,4000,-61.06833566739033,30,-0.005,3890,0
150000,5000,-36.92578200543886,30,0.714972894392464,4862,0
180000,6000,-38.373991819671744,30,-0.006999999999999998,5822,0
210000,7000,-55.46648856167745,30,-0.005333333333333333,6798,0
240000,8000,-92.21991410627768,30,-0.004000000000000001,7728,0
270000,9000,-106.16814308010747,30,-0.004666666666666667,8697,0
300000,10000,-109.2764648101542,30,-0.006333333333333332,9668,0
