steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,-1.0,2,-1.0,0,2.0
4,2,-2.0,2,-1.0,0,4.0
6,3,-3.0,2,-1.0,0,6.0
8,4,-2.0,2,1.0,1,6.0
10,5,-3.0,2,-1.0,1,8.0
12,6,-4.0,2,-1.0,1,10.0
14,7,-3.0,2,1.0,2,10.0
16,8,-2.0,2,1.0,3,10.0
18,9,-1.0,2,1.0,4,10.0
20,10,0.0,2,1.0,5,10.0
24,12,0.0,2,-1.0,6,12.0
28,14,-2.0,2,-1.0,6,16.0
34,17,-5.0,2,-1.0,6,22.0
40,20,-2.0,2,1.0,9,22.0
50,25,-1.0,2,-1.0,12,26.0
60,30,0.0,2,1.0,15,30.0
80,40,-2.0,2,-1.0,19,42.0
100,50,-2.0,2,-1.0,24,52.0
120,60,-2.0,2,-1.0,29,62.0
140,70,-6.0,2,-1.0,32,76.0
160,80,-6.0,2,-1.0,37,86.0
180,90,-6.0,2,-1.0,42,96.0
200,100,-6.0,2,-1.0,47,106.0
240,120,-6.0,2,1.0,57,126.0
280,140,-10.0,2,-1.0,65,150.0
340,170,-12.0,2,1.0,79,182.0
400,200,2.0,2,1.0,101,198.0
500,250,-4.0,2,1.0,123,254.0
600,300,-4.0,2,1.0,148,304.0
800,400,10.0,2,-1.0,205,390.0
1000,500,-10.0,2,-1.0,245,510.0
1200,600,-8.0,2,-1.0,296,608.0
1400,700,20.0,2,1.0,360,680.0
1600,800,46.0,2,-1.0,423,754.0
1800,900,56.0,2,1.0,478,844.0
2000,1000,50.0,2,-1.0,525,950.0
2400,1200,60.0,2,1.0,630,1140.0
2800,1400,52.0,2,-1.0,726,1348.0
3400,1700,50.0,2,-1.0,875,1650.0
4000,2000,76.0,2,-1.0,1038,1924.0
5000,2500,76.0,2,1.0,1288,2424.0
6000,3000,96.0,2,-1.0,1548,2904.0
8000,4000,104.0,2,-1.0,2052,3896.0
10000,5000,102.0,2,1.0,2551,4898.0
12000,6000,1054.0,2,1.0,3527,4946.0
14000,7000,1990.0,2,1.0,4495,5010.0
16000,8000,2940.0,2,1.0,5470,5060.0
18000,9000,3900.0,2,1.0,6450,5100.0
20000,10000,4850.0,2,1.0,7425,5150.0
