steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,4.0,3,1.0,4,0.0
15,5,5.0,3,1.0,5,0.0
18,6,4.0,3,-1.0,5,2.0
21,7,3.0,3,-1.0,5,4.0
24,8,4.0,3,1.0,6,4.0
27,9,3.0,3,-1.0,6,6.0
30,10,2.0,3,-1.0,6,8.0
36,12,2.0,3,1.0,7,10.0
42,14,2.0,3,1.0,8,12.0
51,17,5.0,3,1.0,11,12.0
60,20,8.0,3,1.0,14,12.0
75,25,7.0,3,-1.0,16,18.0
90,30,12.0,3,1.0,21,18.0
120,40,8.0,3,-1.0,24,32.0
150,50,8.0,3,-1.0,29,42.0
180,60,10.0,3,-1.0,35,50.0
210,70,12.0,3,1.0,41,58.0
240,80,8.0,3,-1.0,44,72.0
270,90,12.0,3,-1.0,51,78.0
300,100,14.0,3,1.0,57,86.0
360,120,16.0,3,1.0,68,104.0
420,140,16.0,3,1.0,78,124.0
510,170,14.0,3,-1.0,92,156.0
600,200,14.0,3,-1.0,107,186.0
750,250,16.0,3,1.0,133,234.0
900,300,16.0,3,1.0,158,284.0
1200,400,30.0,3,-1.0,215,370.0
1500,500,40.0,3,1.0,270,460.0
1800,600,40.0,3,-1.0,320,560.0
2100,700,34.0,3,-1.0,367,666.0
2400,800,30.0,3,-1.0,415,770.0
2700,900,36.0,3,1.0,468,864.0
3000,1000,38.0,3,1.0,519,962.0
3600,1200,26.0,3,-1.0,613,1174.0
4200,1400,0.0,3,-1.0,700,1400.0
5100,1700,8.0,3,-1.0,854,1692.0
6000,2000,46.0,3,1.0,1023,1954.0
7500,2500,70.0,3,1.0,1285,2430.0
9000,3000,74.0,3,1.0,1537,2926.0
12000,4000,26.0,3,-1.0,2013,3974.0
15000,5000,64.0,3,-1.0,2532,4936.0
18000,6000,26.0,3,-1.0,3013,5974.0
21000,7000,-28.0,3,1.0,3486,7028.0
24000,8000,-58.0,3,1.0,3971,8058.0
27000,9000,-84.0,3,1.0,4458,9084.0
30000,10000,-80.0,3,1.0,4960,10080.0
