steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,0.0,1,-1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,0.0,1,1.0,4.0
5,5,-1.0,1,-1.0,6.0
6,6,-2.0,1,-1.0,8.0
7,7,-3.0,1,-1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-16.0,1,-1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-26.0,1,-1.0,56.0
40,40,-32.0,1,-1.0,72.0
50,50,-42.0,1,-1.0,92.0
60,60,-52.0,1,-1.0,112.0
70,70,-60.0,1,-1.0,130.0
80,80,-68.0,1,-1.0,148.0
90,90,-74.0,1,1.0,164.0
100,100,-80.0,1,-1.0,180.0
120,120,-98.0,1,-1.0,218.0
140,140,-114.0,1,-1.0,254.0
170,170,-142.0,1,-1.0,312.0
200,200,-172.0,1,-1.0,372.0
250,250,-218.0,1,-1.0,468.0
300,300,-254.0,1,-1.0,554.0
400,400,-336.0,1,-1.0,736.0
500,500,-424.0,1,1.0,924.0
600,600,-502.0,1,-1.0,1102.0
700,700,-580.0,1,-1.0,1280.0
800,800,-658.0,1,1.0,1458.0
900,900,-740.0,1,-1.0,1640.0
1000,1000,-820.0,1,-1.0,1820.0
1200,1200,-980.0,1,-1.0,2180.0
1400,1400,-1154.0,1,-1.0,2554.0
1700,1700,-1392.0,1,-1.0,3092.0
2000,2000,-1608.0,1,1.0,3608.0
2500,2500,-2026.0,1,-1.0,4526.0
3000,3000,-2420.0,1,-1.0,5420.0
4000,4000,-3234.0,1,-1.0,7234.0
5000,5000,-4022.0,1,-1.0,9022.0
6000,6000,-4800.0,1,-1.0,10800.0
7000,7000,-5616.0,1,1.0,12616.0
8000,8000,-6420.0,1,-1.0,14420.0
9000,9000,-7252.0,1,-1.0,16252.0
10000,10000,-8036.0,1,-1.0,18036.0
