steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.7560111894015343,1,-0.7560111894015343,2.0
2,2,-1.4601465751335008,1,-0.7041353857319663,4.0
3,3,-2.3000894911613328,1,-0.8399429160278319,6.0
4,4,-3.8668264422793857,1,-1.566736951118053,8.0
5,5,-4.944863115714692,1,-1.0780366734353062,10.0
6,6,-5.6785326058241345,1,-0.7336694901094423,12.0
7,7,-6.282854835787494,1,-0.6043222299633593,14.0
8,8,-7.278496618342828,1,-0.9956417825553343,16.0
9,9,-7.899156219331557,1,-0.6206596009887291,18.0
10,10,-9.379597313381423,1,-1.480441094049865,20.0
12,12,-9.500512144572813,1,0.6455387069495686,22.0
14,14,-11.124188814568244,1,-0.8718283509846336,26.0
17,17,-12.452543612499605,1,-1.1607824682926715,30.0
20,20,-14.033169125696363,1,-1.0283873904356848,34.0
25,25,-18.823200234247594,1,-1.2367739817592731,44.0
30,30,-23.63371396144307,1,-0.9529891736791135,54.0
40,40,-34.16197112707704,1,-1.3195808980128096,74.0
50,50,-43.796294729301415,1,-1.2658799405426246,92.0
60,60,-53.89285272187972,1,-1.63918262900064,112.0
70,70,-61.74311347366505,1,-0.9392214474504033,130.0
80,80,-70.71403683187845,1,-1.1685959168514004,148.0
90,90,-77.5534255069206,1,-0.9876534497406252,166.0
100,100,-83.7708386759697,1,-1.051253684316564,184.0
120,120,-101.24704873286453,1,1.6317496321390266,220.0
140,140,-120.8636247087973,1,-0.8422090702819783,260.0
170,170,-145.76428402834645,1,-0.8549260479005951,316.0
200,200,-165.42077370300868,1,-0.7015615580380106,366.0
250,250,-203.90228801356605,1,-1.2207799964304746,452.0
300,300,-248.9511176324726,1,-1.1786966191927704,546.0
400,400,-307.31074285360256,1,-0.9314577785965347,706.0
500,500,-378.6986666943669,1,0.8151898334683685,878.0
600,600,-459.51783086279653,1,0.7644133901232749,1056.0
700,700,-555.9181137482161,1,-1.6152104216364398,1242.0
800,800,-635.3999105944049,1,-0.8741158255153655,1424.0
900,900,-715.0118487735429,1,-1.3097194737019697,1606.0
1000,1000,-791.8299521197081,1,-0.6569511462541167,1782.0
1200,1200,-954.8731535510656,1,-1.1480476029931672,2146.0
1400,1400,-1106.0417175793066,1,1.0768035242444662,2498.0
1700,1700,-1359.3888334336725,1,-1.0977837237040797,3054.0
2000,2000,-1605.6255800403524,1,-0.7401100377937355,3604.0
2500,2500,-2000.3827046319313,1,-0.6885477286140737,4506.0
3000,3000,-2420.981818841158,1,-0.9320064144425966,5434.0
4000,4000,-3213.261523191743,1,-0.7818417818722637,7228.0
5000,5000,-3997.032012568665,1,-1.0566870610418702,9012.0
6000,6000,-4826.788530336081,1,-0.8616127818279513,10834.0
7000,7000,-5628.093402225634,1,-0.5913226589736268,12624.0
8000,8000,-6463.144470883287,1,-1.2588771452628973,14446.0
9000,9000,-7251.188180212066,1,-1.4299290947724317,16246.0
10000,10000,-8063.709012389189,1,-1.2095763318503103,18060.0
