steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.03,1,-0.03,2.0
2,2,-0.06,1,-0.03,4.0
3,3,-0.09,1,-0.03,6.0
4,4,-0.12,1,-0.03,8.0
5,5,-0.15,1,-0.03,10.0
6,6,-0.18,1,-0.03,12.0
7,7,-0.21,1,-0.03,14.0
8,8,-0.24,1,-0.03,16.0
9,9,-0.27,1,-0.03,18.0
10,10,-0.30000000000000004,1,-0.03,20.0
12,12,-0.30000000000000004,1,-0.03,22.0
14,14,-0.3600000000000001,1,-0.03,26.0
17,17,-0.4500000000000002,1,-0.03,32.0
20,20,-0.5400000000000003,1,-0.03,38.0
25,25,-0.6900000000000004,1,-0.03,48.0
30,30,-0.8400000000000005,1,-0.03,58.0
40,40,-1.0200000000000007,1,-0.03,74.0
50,50,-1.1400000000000008,1,-0.03,88.0
60,60,-1.320000000000001,1,-0.03,104.0
70,70,-1.5600000000000012,1,-0.03,122.0
80,80,-1.8600000000000014,1,-0.03,142.0
90,90,-2.1600000000000006,1,-0.03,162.0
100,100,-2.4599999999999986,1,-0.03,182.0
120,120,-2.999999999999995,1,-0.03,220.0
140,140,-3.3599999999999928,1,-0.03,252.0
170,170,-4.079999999999989,1,-0.03,306.0
200,200,-4.799999999999995,1,-0.03,360.0
250,250,-6.000000000000005,1,-0.03,450.0
300,300,-7.260000000000016,1,-0.03,542.0
400,400,-9.95999999999998,1,-0.03,732.0
500,500,-12.239999999999931,1,-0.03,908.0
600,600,-14.459999999999884,1,0.03,1082.0
700,700,-16.79999999999988,1,0.03,1260.0
800,800,-19.259999999999973,1,-0.03,1442.0
900,900,-22.08000000000008,1,-0.03,1636.0
1000,1000,-24.48000000000017,1,-0.03,1816.0
1200,1200,-29.400000000000357,1,-0.03,2180.0
1400,1400,-34.02000000000053,1,-0.03,2534.0
1700,1700,-41.2200000000008,1,-0.03,3074.0
2000,2000,-48.420000000001075,1,-0.03,3614.0
2500,2500,-60.36000000000153,1,-0.03,4512.0
3000,3000,-72.06000000000196,1,0.03,5402.0
4000,4000,-96.24000000000288,1,-0.03,7208.0
5000,5000,-119.70000000000377,1,-0.03,8990.0
6000,6000,-143.40000000000467,1,-0.03,10780.0
7000,7000,-167.7600000000056,1,-0.03,12592.0
8000,8000,-191.8200000000065,1,-0.03,14394.0
9000,9000,-215.3400000000074,1,-0.03,16178.0
10000,10000,-239.3400000000083,1,-0.03,17978.0
