steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-4.0,20,-4.0,2.0
60,3,-4.0,20,0.0,2.0
80,4,-6.0,20,-2.0,4.0
100,5,-6.0,20,0.0,6.0
120,6,-4.0,20,2.0,6.0
140,7,-6.0,20,-2.0,6.0
160,8,0.0,20,6.0,8.0
180,9,6.0,20,6.0,10.0
200,10,-2.0,20,-8.0,10.0
240,12,-4.0,20,0.0,12.0
280,14,-6.0,20,0.0,12.0
340,17,6.0,20,2.0,16.0
400,20,2.0,20,-4.0,18.0
500,25,-6.0,20,0.0,22.0
600,30,-6.0,20,-2.0,24.0
800,40,-12.0,20,0.0,32.0
1000,50,-18.0,20,-2.0,44.0
1200,60,-16.0,20,-4.0,58.0
1400,70,-24.0,20,6.0,66.0
1600,80,-12.0,20,4.0,72.0
1800,90,24.0,20,2.0,78.0
2000,100,24.0,20,-4.0,88.0
2400,120,34.0,20,4.0,110.0
2800,140,24.0,20,6.0,130.0
3400,170,42.0,20,-4.0,156.0
4000,200,32.0,20,-8.0,186.0
5000,250,38.0,20,4.0,238.0
6000,300,102.0,20,-8.0,272.0
8000,400,126.0,20,2.0,366.0
10000,500,90.0,20,4.0,462.0
12000,600,98.0,20,4.0,550.0
14000,700,174.0,20,6.0,644.0
16000,800,142.0,20,-2.0,734.0
18000,900,198.0,20,-4.0,830.0
20000,1000,80.0,20,-2.0,916.0
24000,1200,38.0,20,6.0,1114.0
28000,1400,100.0,20,2.0,1328.0
34000,1700,62.0,20,-2.0,1620.0
40000,2000,208.0,20,2.0,1910.0
50000,2500,214.0,20,-4.0,2460.0
60000,3000,212.0,20,0.0,2990.0
80000,4000,170.0,20,-10.0,4010.0
100000,5000,110.0,20,6.0,5018.0
120000,6000,244.0,20,-4.0,6076.0
140000,7000,84.0,20,2.0,7054.0
160000,8000,164.0,20,-2.0,8068.0
180000,9000,144.0,20,-6.0,9068.0
200000,10000,358.0,20,-10.0,10028.0
