steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,1.3,1,0.30000000000000004,0.7
3,3,1.8,1,0.5,1.2
4,4,2.0,1,0.2,2.0
5,5,2.6,1,0.6000000000000001,2.4
6,6,3.5,1,0.9,2.5
7,7,4.1,1,0.6000000000000001,2.9
8,8,4.699999999999999,1,0.6000000000000001,3.3
9,9,5.699999999999999,1,1.0,3.3
10,10,6.199999999999999,1,0.5,3.8
12,12,6.499999999999999,1,0.30000000000000004,5.5
14,14,7.499999999999999,1,0.5,6.5
17,17,8.7,1,0.1,8.299999999999999
20,20,10.9,1,0.9,9.099999999999998
25,25,12.0,1,0.30000000000000004,12.999999999999998
30,30,13.6,1,0.4,16.4
40,40,19.9,1,0.7000000000000001,20.1
50,50,25.999999999999996,1,0.5,24.000000000000004
60,60,31.799999999999997,1,0.7000000000000001,28.200000000000003
70,70,35.8,1,0.7000000000000001,34.2
80,80,43.099999999999994,1,0.8,36.900000000000006
90,90,47.19999999999999,1,0.5,42.80000000000001
100,100,52.39999999999999,1,0.7000000000000001,47.60000000000001
120,120,61.5,1,0.6000000000000001,58.5
140,140,74.4,1,0.4,65.60000000000001
170,170,89.30000000000001,1,0.7000000000000001,80.7
200,200,102.10000000000005,1,0.0,97.89999999999996
250,250,128.50000000000003,1,0.2,121.5
300,300,153.0,1,0.30000000000000004,147.0
400,400,199.70000000000005,1,0.0,200.29999999999995
500,500,256.7999999999999,1,0.5,243.20000000000007
600,600,311.69999999999993,1,0.4,288.3
700,700,364.79999999999984,1,0.1,335.2000000000001
800,800,414.4999999999998,1,0.4,385.50000000000017
900,900,457.7999999999999,1,0.7000000000000001,442.20000000000005
1000,1000,511.59999999999974,1,0.1,488.4000000000002
1200,1200,686.3999999999954,1,0.9,513.6000000000045
1400,1400,872.3999999999937,1,1.0,527.6000000000062
1700,1700,1165.5999999999938,1,1.0,534.400000000006
2000,2000,1459.299999999994,1,1.0,540.7000000000061
2500,2500,1948.9999999999939,1,0.0,551.0000000000061
3000,3000,2438.199999999995,1,1.0,561.8000000000063
4000,4000,3410.799999999996,1,1.0,589.2000000000066
5000,5000,4389.699999999995,1,1.0,610.3000000000063
6000,6000,5363.999999999996,1,0.1,636.0000000000063
7000,7000,6342.599999999996,1,1.0,657.4000000000065
8000,8000,7323.099999999996,1,1.0,676.9000000000059
9000,9000,8294.799999999994,1,1.0,705.2000000000058
10000,10000,9272.29999999999,1,1.0,727.7000000000061
