steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.7073543307831524,1,0.7073543307831524,0.19999999999999996
2,2,1.3378249407917076,1,0.6304706100085552,0.4999999999999999
3,3,2.147519280763249,1,0.8096943399715417,0.5999999999999999
4,4,2.7495706485405393,1,0.6020513677772904,0.9999999999999998
5,5,2.7741489340843897,1,0.02457828554385016,1.9999999999999998
6,6,3.036356460779419,1,0.2622075266950293,2.6999999999999997
7,7,3.912720283251576,1,0.876363822472157,2.6999999999999997
8,8,4.518281215458801,1,0.6055609322072245,2.9999999999999996
9,9,4.457243580150605,1,-0.06103763530819602,3.9999999999999996
10,10,4.526923111397014,1,0.06967953124640962,5.0
12,12,4.909478500046846,1,0.016632258600185995,6.4
14,14,6.862537956369614,1,0.8535045193140305,6.5
17,17,8.704910139213215,1,0.6377183030262783,7.800000000000001
20,20,9.911857843861805,1,0.31501842543274233,9.700000000000001
25,25,12.73134357555169,1,0.7835423025230215,11.7
30,30,15.328978528190294,1,0.4046759667710578,14.2
40,40,20.51696151646586,1,0.6749605505221661,18.6
50,50,23.533461074244798,1,0.7423791788046641,25.600000000000005
60,60,29.20047995787133,1,0.6820842422804825,30.300000000000004
70,70,32.665970182349064,1,0.3582598520580052,36.7
80,80,39.566399926052874,1,0.32646217726609617,40.50000000000001
90,90,45.30757248448859,1,0.5130956536960155,45.10000000000001
100,100,49.85456273626489,1,0.38353356813130174,50.1
120,120,61.761076431698065,1,-0.09966598397990847,58.2
140,140,71.99390052870453,1,0.5525550462254847,68.10000000000001
170,170,87.59873150277937,1,0.40464863985523397,82.60000000000001
200,200,102.94184072928314,1,0.9407569495493581,97.0
250,250,132.25262583015123,1,0.6973120220673443,117.50000000000003
300,300,161.3167515472815,1,0.35562566081854174,140.0
400,400,208.98272997208963,1,0.07714980068847235,190.7
500,500,258.3234593345857,1,0.505022762110851,240.49999999999991
600,600,306.05854108132894,1,0.4497337233386827,292.69999999999993
700,700,360.0223908705115,1,0.7487224267429551,339.7000000000002
800,800,408.20264532856834,1,-0.15963267607068143,392.6000000000001
900,900,452.2063551761625,1,0.5840577917442307,448.1999999999997
1000,1000,500.2855518631124,1,0.5740677461861634,499.5999999999995
1200,1200,655.8226782097069,1,0.7651776678298674,542.1999999999972
1400,1400,833.6579700086678,1,1.0579891811277369,566.4999999999978
1700,1700,1128.3662358631882,1,0.7978000959917466,569.9999999999977
2000,2000,1425.730747728051,1,1.0333033986114384,573.2999999999978
2500,2500,1915.9293275311816,1,1.1052488009189485,583.499999999998
3000,3000,2399.1599857258852,1,0.958732477207606,597.9999999999978
4000,4000,3370.300737458871,1,0.46381724154414294,625.1999999999975
5000,5000,4345.8438712732095,1,1.0661359554891996,649.7999999999975
6000,6000,5316.054101584736,1,0.9865886438877932,678.9999999999976
7000,7000,6286.197602826068,1,1.0790596475470793,702.0999999999973
8000,8000,7260.831817849308,1,1.0523732596365518,727.2999999999971
9000,9000,8238.131966046174,1,1.0350999159158993,751.3999999999975
10000,10000,9213.074424400682,1,1.0282449000807263,775.0999999999975
