steps,episode,total_return,episode_len,episode_return
100,1,1.1,100,1.1
200,2,2.1,100,1.0
300,3,3.2,100,1.1
400,4,4.300000000000001,100,1.1
500,5,5.300000000000001,100,1.0
600,6,6.4,100,1.1
700,7,7.4,100,1.0
800,8,8.5,100,1.1
900,9,9.5,100,1.0
1000,10,10.5,100,1.0
1200,12,12.5,100,1.0
1400,14,14.5,100,1.0
1700,17,17.6,100,1.1
2000,20,20.700000000000003,100,1.1
2500,25,26.10000000000001,100,1.1
3000,30,31.30000000000001,100,1.0
4000,40,41.500000000000014,100,1.0
5000,50,51.500000000000014,100,1.0
6000,60,61.600000000000016,100,1.0
7000,70,71.60000000000002,100,1.0
8000,80,81.60000000000002,100,1.0
9000,90,91.70000000000002,100,1.0
10000,100,101.70000000000002,100,1.0
12000,120,121.70000000000002,100,1.0
14000,140,141.70000000000002,100,1.0
17000,170,171.70000000000002,100,1.0
20000,200,201.70000000000002,100,1.0
25000,250,251.70000000000002,100,1.0
30000,300,301.90000000000003,100,1.0
40000,400,402.00000000000006,100,1.0
50000,500,502.00000000000006,100,1.0
60000,600,602.0,100,1.0
70000,700,702.2,100,1.0
80000,800,802.2,100,1.0
90000,900,902.3000000000001,100,1.0
100000,1000,1002.5000000000001,100,1.0
