steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-2.0,1,1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-16.0,1,1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-26.0,1,-1.0,56.0
40,40,-34.0,1,-1.0,74.0
50,50,-36.0,1,1.0,86.0
60,60,-46.0,1,-1.0,106.0
70,70,-54.0,1,-1.0,124.0
80,80,-62.0,1,-1.0,142.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,1.0,178.0
120,120,-96.0,1,-1.0,216.0
140,140,-108.0,1,-1.0,248.0
170,170,-136.0,1,-1.0,306.0
200,200,-162.0,1,-1.0,362.0
250,250,-204.0,1,-1.0,454.0
300,300,-238.0,1,-1.0,538.0
400,400,-316.0,1,1.0,716.0
500,500,-404.0,1,-1.0,904.0
600,600,-482.0,1,-1.0,1082.0
700,700,-564.0,1,-1.0,1264.0
800,800,-642.0,1,-1.0,1442.0
900,900,-730.0,1,-1.0,1630.0
1000,1000,-810.0,1,1.0,1810.0
1200,1200,-974.0,1,-1.0,2174.0
1400,1400,-1130.0,1,1.0,2530.0
1700,1700,-1360.0,1,-1.0,3060.0
2000,2000,-1598.0,1,1.0,3598.0
2500,2500,-1940.0,1,-1.0,4440.0
3000,3000,-2330.0,1,-1.0,5330.0
4000,4000,-3018.0,1,-1.0,7018.0
5000,5000,-3710.0,1,1.0,8710.0
6000,6000,-4358.0,1,-1.0,10358.0
7000,7000,-4932.0,1,-1.0,11932.0
8000,8000,-5502.0,1,-1.0,13502.0
9000,9000,-5982.0,1,-1.0,14982.0
10000,10000,-6484.0,1,-1.0,16484.0
