steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.001,1,-0.001,2.0
2,2,-0.002,1,-0.001,4.0
3,3,-0.003,1,-0.001,6.0
4,4,-0.004,1,-0.001,8.0
5,5,-0.005,1,-0.001,10.0
6,6,-0.006,1,-0.001,12.0
7,7,-0.007,1,-0.001,14.0
8,8,-0.008,1,-0.001,16.0
9,9,-0.009000000000000001,1,-0.001,18.0
10,10,-0.010000000000000002,1,-0.001,20.0
12,12,-0.012000000000000004,1,-0.001,24.0
14,14,-0.012000000000000004,1,-0.001,26.0
17,17,-0.015000000000000006,1,-0.001,32.0
20,20,-0.01800000000000001,1,-0.001,38.0
25,25,-0.023000000000000013,1,-0.001,48.0
30,30,-0.026000000000000016,1,-0.001,56.0
40,40,-0.03200000000000002,1,0.001,72.0
50,50,-0.03800000000000003,1,-0.001,88.0
60,60,-0.046000000000000034,1,-0.001,106.0
70,70,-0.05600000000000004,1,-0.001,126.0
80,80,-0.060000000000000046,1,-0.001,140.0
90,90,-0.07000000000000005,1,-0.001,160.0
100,100,-0.07600000000000005,1,-0.001,176.0
120,120,-0.09200000000000007,1,-0.001,212.0
140,140,-0.10800000000000008,1,-0.001,248.0
170,170,-0.1360000000000001,1,-0.001,306.0
200,200,-0.16200000000000012,1,-0.001,362.0
250,250,-0.20400000000000015,1,-0.001,454.0
300,300,-0.2460000000000002,1,-0.001,546.0
400,400,-0.32000000000000023,1,0.001,720.0
500,500,-0.4080000000000003,1,-0.001,908.0
600,600,-0.4840000000000004,1,-0.001,1084.0
700,700,-0.5660000000000004,1,-0.001,1266.0
800,800,-0.6360000000000005,1,-0.001,1436.0
900,900,-0.7220000000000005,1,0.001,1622.0
1000,1000,-0.8100000000000006,1,-0.001,1810.0
1200,1200,-0.9660000000000007,1,-0.001,2166.0
1400,1400,-1.1279999999999866,1,-0.001,2528.0
1700,1700,-1.377999999999959,1,-0.001,3078.0
2000,2000,-1.6179999999999326,1,-0.001,3618.0
2500,2500,-2.025999999999888,1,-0.001,4526.0
3000,3000,-2.4459999999998416,1,-0.001,5446.0
4000,4000,-3.241999999999754,1,-0.001,7242.0
5000,5000,-4.051999999999688,1,-0.001,9052.0
6000,6000,-4.851999999999955,1,-0.001,10852.0
7000,7000,-5.640000000000218,1,-0.001,12640.0
8000,8000,-6.436000000000484,1,-0.001,14436.0
9000,9000,-7.170000000000729,1,-0.001,16170.0
10000,10000,-7.970000000000996,1,-0.001,17970.0
