steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,0.7000000000000001,1,0.30000000000000004,1.2999999999999998
3,3,0.7000000000000001,1,0.0,2.3
4,4,1.1,1,0.4,2.9
5,5,1.7000000000000002,1,0.6000000000000001,3.3
6,6,2.4000000000000004,1,0.7000000000000001,3.5999999999999996
7,7,3.0000000000000004,1,0.6000000000000001,3.9999999999999996
8,8,3.5000000000000004,1,0.5,4.5
9,9,3.8000000000000007,1,0.30000000000000004,5.2
10,10,4.500000000000001,1,0.7000000000000001,5.5
12,12,6.200000000000001,1,0.7000000000000001,5.8
14,14,6.700000000000001,1,0.1,7.3
17,17,7.400000000000001,1,0.0,9.6
20,20,8.000000000000002,1,0.2,12.0
25,25,10.900000000000002,1,0.6000000000000001,14.1
30,30,13.800000000000002,1,0.5,16.2
40,40,18.400000000000002,1,0.8,21.599999999999994
50,50,23.600000000000005,1,0.9,26.39999999999999
60,60,28.200000000000006,1,0.9,31.79999999999999
70,70,34.00000000000001,1,0.7000000000000001,35.999999999999986
80,80,38.60000000000001,1,0.5,41.399999999999984
90,90,43.30000000000002,1,0.6000000000000001,46.699999999999974
100,100,48.80000000000002,1,0.9,51.199999999999974
120,120,58.00000000000001,1,0.8,61.999999999999986
140,140,69.19999999999999,1,0.30000000000000004,70.8
170,170,86.09999999999998,1,0.9,83.9
200,200,104.69999999999999,1,0.7000000000000001,95.3
250,250,127.8,1,0.7000000000000001,122.19999999999999
300,300,154.90000000000003,1,0.1,145.09999999999997
400,400,206.20000000000007,1,0.4,193.79999999999993
500,500,254.70000000000005,1,0.2,245.29999999999995
600,600,305.29999999999967,1,0.4,294.7000000000003
700,700,354.2999999999998,1,0.0,345.70000000000016
800,800,401.2999999999998,1,0.4,398.70000000000016
900,900,448.59999999999997,1,0.9,451.4
1000,1000,495.1000000000001,1,0.0,504.89999999999986
1200,1200,658.0999999999963,1,0.9,541.9000000000043
1400,1400,845.9999999999945,1,1.0,554.000000000006
1700,1700,1138.3999999999946,1,1.0,561.600000000006
2000,2000,1425.4999999999945,1,0.1,574.5000000000063
2500,2500,1914.8999999999949,1,1.0,585.1000000000065
3000,3000,2402.8999999999946,1,1.0,597.1000000000065
4000,4000,3370.499999999994,1,1.0,629.5000000000064
5000,5000,4340.699999999994,1,1.0,659.3000000000063
6000,6000,5312.399999999992,1,1.0,687.6000000000067
7000,7000,6280.299999999992,1,1.0,719.7000000000064
8000,8000,7249.499999999994,1,1.0,750.5000000000069
9000,9000,8216.799999999996,1,1.0,783.2000000000069
10000,10000,9187.99999999999,1,1.0,812.0000000000072
