steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,2.0,3,1.0,4,4.0
21,7,3.0,3,1.0,5,4.0
24,8,4.0,3,1.0,6,4.0
27,9,3.0,3,-1.0,6,6.0
30,10,2.0,3,-1.0,6,8.0
36,12,2.0,3,-1.0,7,10.0
42,14,2.0,3,-1.0,8,12.0
51,17,1.0,3,-1.0,9,16.0
60,20,0.0,3,-1.0,10,20.0
75,25,-3.0,3,-1.0,11,28.0
90,30,-4.0,3,-1.0,13,34.0
120,40,0.0,3,1.0,20,40.0
150,50,4.0,3,1.0,27,46.0
180,60,0.0,3,-1.0,30,60.0
210,70,-2.0,3,-1.0,34,72.0
240,80,2.0,3,1.0,41,78.0
270,90,2.0,3,1.0,46,88.0
300,100,2.0,3,1.0,51,98.0
360,120,0.0,3,-1.0,60,120.0
420,140,4.0,3,1.0,72,136.0
510,170,-2.0,3,1.0,84,172.0
600,200,-2.0,3,1.0,99,202.0
750,250,-2.0,3,1.0,124,252.0
900,300,4.0,3,-1.0,152,296.0
1200,400,16.0,3,-1.0,208,384.0
1500,500,28.0,3,-1.0,264,472.0
1800,600,42.0,3,1.0,321,558.0
2100,700,24.0,3,-1.0,362,676.0
2400,800,30.0,3,1.0,415,770.0
2700,900,18.0,3,-1.0,459,882.0
3000,1000,16.0,3,1.0,508,984.0
3600,1200,16.0,3,-1.0,608,1184.0
4200,1400,-20.0,3,-1.0,690,1420.0
5100,1700,-26.0,3,1.0,837,1726.0
6000,2000,-28.0,3,-1.0,986,2028.0
7500,2500,-32.0,3,1.0,1234,2532.0
9000,3000,-52.0,3,-1.0,1474,3052.0
12000,4000,-70.0,3,-1.0,1965,4070.0
15000,5000,-112.0,3,1.0,2444,5112.0
18000,6000,-108.0,3,1.0,2946,6108.0
21000,7000,-142.0,3,1.0,3429,7142.0
24000,8000,-162.0,3,-1.0,3919,8162.0
27000,9000,-192.0,3,1.0,4404,9192.0
30000,10000,-174.0,3,1.0,4913,10174.0
