steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-2.0,20,-2.0,0.0
40,2,-2.0,20,0.0,0.0
60,3,2.0,20,4.0,2.0
80,4,4.0,20,2.0,4.0
100,5,2.0,20,-2.0,6.0
120,6,0.0,20,-2.0,8.0
140,7,0.0,20,0.0,8.0
160,8,-2.0,20,-2.0,8.0
180,9,2.0,20,4.0,10.0
200,10,-6.0,20,-8.0,12.0
240,12,2.0,20,2.0,12.0
280,14,4.0,20,2.0,16.0
340,17,-4.0,20,-4.0,22.0
400,20,-8.0,20,-2.0,28.0
500,25,-12.0,20,-2.0,32.0
600,30,-20.0,20,0.0,40.0
800,40,0.0,20,6.0,52.0
1000,50,0.0,20,2.0,64.0
1200,60,6.0,20,6.0,72.0
1400,70,18.0,20,4.0,86.0
1600,80,6.0,20,-2.0,96.0
1800,90,4.0,20,0.0,102.0
2000,100,-6.0,20,2.0,112.0
2400,120,-30.0,20,-4.0,126.0
2800,140,-8.0,20,0.0,142.0
3400,170,-26.0,20,2.0,174.0
4000,200,-26.0,20,2.0,198.0
5000,250,-12.0,20,8.0,228.0
6000,300,-70.0,20,0.0,282.0
8000,400,-150.0,20,-2.0,388.0
10000,500,-128.0,20,6.0,510.0
12000,600,-82.0,20,-2.0,640.0
14000,700,-100.0,20,4.0,772.0
16000,800,-168.0,20,-10.0,930.0
18000,900,-334.0,20,0.0,1046.0
20000,1000,-348.0,20,-4.0,1180.0
24000,1200,-308.0,20,2.0,1452.0
28000,1400,-354.0,20,2.0,1682.0
34000,1700,-340.0,20,2.0,1992.0
40000,2000,-448.0,20,0.0,2344.0
50000,2500,-718.0,20,2.0,3222.0
60000,3000,-906.0,20,-2.0,4012.0
80000,4000,-1452.0,20,8.0,5722.0
100000,5000,-1420.0,20,-10.0,6850.0
120000,6000,-1594.0,20,-4.0,8124.0
140000,7000,-1916.0,20,0.0,9402.0
160000,8000,-1804.0,20,-2.0,10190.0
180000,9000,-1526.0,20,2.0,10964.0
200000,10000,-1258.0,20,0.0,11666.0
