steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-20.0,1,-1.0,40.0
25,25,-25.0,1,-1.0,50.0
30,30,-28.0,1,-1.0,58.0
40,40,-36.0,1,-1.0,76.0
50,50,-40.0,1,1.0,90.0
60,60,-48.0,1,-1.0,108.0
70,70,-50.0,1,1.0,120.0
80,80,-58.0,1,-1.0,138.0
90,90,-66.0,1,-1.0,156.0
100,100,-76.0,1,-1.0,176.0
120,120,-90.0,1,-1.0,210.0
140,140,-108.0,1,-1.0,248.0
170,170,-126.0,1,-1.0,296.0
200,200,-150.0,1,-1.0,350.0
250,250,-186.0,1,-1.0,436.0
300,300,-224.0,1,-1.0,524.0
400,400,-300.0,1,-1.0,700.0
500,500,-384.0,1,-1.0,884.0
600,600,-464.0,1,-1.0,1064.0
700,700,-554.0,1,-1.0,1254.0
800,800,-636.0,1,-1.0,1436.0
900,900,-718.0,1,-1.0,1618.0
1000,1000,-794.0,1,-1.0,1794.0
1200,1200,-954.0,1,-1.0,2154.0
1400,1400,-1120.0,1,-1.0,2520.0
1700,1700,-1356.0,1,-1.0,3056.0
2000,2000,-1588.0,1,1.0,3588.0
2500,2500,-1984.0,1,-1.0,4484.0
3000,3000,-2352.0,1,-1.0,5352.0
4000,4000,-3062.0,1,-1.0,7062.0
5000,5000,-3686.0,1,-1.0,8686.0
6000,6000,-4254.0,1,-1.0,10254.0
7000,7000,-4800.0,1,-1.0,11800.0
8000,8000,-5336.0,1,-1.0,13336.0
9000,9000,-5840.0,1,1.0,14840.0
10000,10000,-6294.0,1,-1.0,16294.0
