steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.0045000000000000005,20,-0.0045000000000000005,1,0
40,2,-0.008000000000000004,20,-0.0035,2,0
60,3,-0.010000000000000005,20,-0.002,3,0
80,4,-0.013500000000000009,20,-0.0035,4,0
100,5,-0.018000000000000013,20,-0.0045000000000000005,5,0
120,6,-0.022000000000000016,20,-0.004,6,0
140,7,-0.029000000000000022,20,-0.007000000000000003,7,0
160,8,-0.03300000000000002,20,-0.004,8,0
180,9,-0.03950000000000003,20,-0.006500000000000002,9,0
200,10,-0.04400000000000003,20,-0.0045000000000000005,10,0
240,12,-0.05350000000000004,20,-0.005000000000000001,12,0
280,14,-0.06250000000000004,20,-0.004,14,0
340,17,-0.07700000000000005,20,-0.005500000000000001,17,0
400,20,-0.09300000000000007,20,-0.0045000000000000005,20,0
500,25,-0.11800000000000009,20,-0.005000000000000001,25,0
600,30,-0.1455000000000001,20,-0.006500000000000002,30,0
800,40,-0.19650000000000015,20,-0.0045000000000000005,40,0
1000,50,-0.2485000000000002,20,-0.005000000000000001,50,0
1200,60,-0.3005000000000002,20,-0.005500000000000001,60,0
1400,70,-0.35200000000000026,20,-0.005500000000000001,70,0
1600,80,-0.3990000000000003,20,-0.005000000000000001,80,0
1800,90,-0.45250000000000035,20,-0.0045000000000000005,90,0
2000,100,-0.4995000000000004,20,-0.006000000000000002,100,0
2400,120,-0.59349999999999,20,-0.003,120,0
2800,140,-0.6979999999999785,20,-0.006000000000000002,140,0
3400,170,-0.8489999999999619,20,-0.0045000000000000005,170,0
4000,200,-0.9974999999999455,20,-0.005500000000000001,200,0
5000,250,-1.2554999999999172,20,-0.006500000000000002,250,0
6000,300,-1.5069999999998895,20,-0.006500000000000002,300,0
8000,400,-1.9919999999998361,20,-0.004,400,0
10000,500,-2.4829999999999965,20,-0.005000000000000001,500,0
12000,600,-2.9765000000001614,20,-0.004,600,0
14000,700,-3.437000000000315,20,-0.005000000000000001,700,0
16000,800,-3.921500000000477,20,-0.0045000000000000005,800,0
18000,900,-4.418500000000271,20,-0.006500000000000002,900,0
20000,1000,-4.886500000000011,20,-0.003,1000,0
24000,1200,-5.835999999999485,20,-0.0035,1200,0
28000,1400,-6.72899999999899,20,-0.004,1400,0
34000,1700,-8.103999999998413,20,-0.0025,1700,0
40000,2000,-9.465000000000076,20,-0.0035,2000,0
50000,2500,-11.835000000002973,20,-0.008500000000000004,2500,0
60000,3000,-13.8205000000054,20,-0.0035,3000,0
80000,4000,-17.91050000000361,20,-0.0035,4000,0
100000,5000,-22.733999999992367,20,-0.0025,5000,0
120000,6000,-28.329499999979326,20,-0.0035,6000,0
140000,7000,-34.01899999998041,20,-0.007000000000000003,7000,0
160000,8000,-39.201500000005154,20,-0.006500000000000002,8000,0
180000,9000,-43.83050000002726,20,-0.0045000000000000005,9000,0
200000,10000,-47.748500000045965,20,-0.0035,10000,0
