steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.004000000000000001,50,-0.004000000000000001,1,0
100,2,-0.008199999999999995,50,-0.004200000000000001,2,0
150,3,-0.013400000000000009,50,-0.005199999999999999,3,0
200,4,-0.0182,50,-0.0048,4,0
250,5,-0.023599999999999968,50,-0.0053999999999999986,5,0
300,6,-0.028799999999999937,50,-0.005199999999999999,6,0
350,7,-0.0351999999999999,50,-0.006399999999999997,7,0
400,8,-0.03999999999999987,50,-0.0048,8,0
450,9,-0.04479999999999984,50,-0.0048,9,0
500,10,0.43115569029639,50,0.4759556902963898,10,0
600,12,2.2296671456428836,50,1.8037114553464924,12,0
700,14,2.2192671456428847,50,-0.005799999999999998,14,0
850,17,2.1511815314878877,50,-0.057085614154998694,17,0
1000,20,2.1361815314878894,50,-0.0044,20,0
1250,25,2.1087815314878924,50,-0.0053999999999999986,25,0
1500,30,2.0825815314878953,50,-0.0059999999999999975,30,0
2000,40,2.031981531487901,50,-0.005599999999999998,40,0
2500,50,2.567311595180724,50,-0.0059999999999999975,50,0
3000,60,3.5948724839761184,50,-0.005199999999999999,60,0
3500,70,3.544872483976124,50,-0.004999999999999999,70,0
4000,80,1.1244616898552993,50,-0.0048,79,0
4500,90,0.9399079656426391,50,-0.0048,89,0
5000,100,0.7142062302878337,50,-0.0053999999999999986,99,0
6000,120,2.7270186800537854,50,-0.004999999999999999,118,0
7000,140,1.1133735200162456,50,-0.0048,138,0
8500,170,2.2423814540168276,50,-0.0046,167,0
10000,200,2.0885814540168446,50,-0.005599999999999998,195,0
12500,250,1.452752293564455,50,-0.0048,243,0
15000,300,1.4713287922484126,50,-0.005799999999999998,292,0
20000,400,0.9550807970785227,50,-0.0065999999999999965,390,0
25000,500,1.4162899917009153,50,-0.0044,490,0
30000,600,-0.7279904202326042,50,-0.0046,588,0
35000,700,-1.5994002601390627,50,-0.003200000000000001,686,0
40000,800,0.4070261205758343,50,-0.5092275656458188,783,0
45000,900,-0.5193994177245831,50,-0.006399999999999997,880,0
50000,1000,1.277062939785482,50,-0.0044,975,0
60000,1200,2.1644288900941726,50,-0.005199999999999999,1171,0
70000,1400,6.52798748589568,50,-0.0065999999999999965,1367,0
85000,1700,4.1633679064345515,50,-0.0053999999999999986,1656,0
100000,2000,-3.1117120655156154,50,-0.004999999999999999,1946,0
125000,2500,-7.927414540991641,50,-0.004999999999999999,2429,0
150000,3000,-9.808268667313456,50,-0.0046,2919,0
200000,4000,-17.656874335739957,50,-0.008414071584429934,3883,0
250000,5000,-26.636402413341386,50,-0.005199999999999999,4828,0
300000,6000,-42.72204987314885,50,-0.005799999999999998,5794,0
350000,7000,-45.92732597750016,50,-0.004200000000000001,6788,0
400000,8000,-43.62890505827065,50,-0.7680749231245859,7765,0
450000,9000,-50.75396003426237,50,-0.0044,8750,0
500000,10000,-68.63614506197199,50,-0.005199999999999999,9726,0
