steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
101,1,-1.0,101,-1.0,0,2.0
202,2,0.0,101,1.0,1,2.0
303,3,1.0,101,1.0,2,2.0
404,4,2.0,101,1.0,3,2.0
505,5,3.0,101,1.0,4,2.0
606,6,2.0,101,-1.0,4,4.0
707,7,1.0,101,-1.0,4,6.0
808,8,2.0,101,1.0,5,6.0
909,9,1.0,101,-1.0,5,8.0
1010,10,2.0,101,1.0,6,8.0
1212,12,4.0,101,1.0,8,8.0
1414,14,6.0,101,1.0,10,8.0
1717,17,5.0,101,1.0,11,12.0
2020,20,6.0,101,1.0,13,14.0
2525,25,7.0,101,-1.0,16,18.0
3030,30,10.0,101,1.0,20,20.0
4040,40,16.0,101,-1.0,28,24.0
5050,50,10.0,101,-1.0,30,40.0
6060,60,10.0,101,-1.0,35,50.0
7070,70,14.0,101,1.0,42,56.0
8080,80,20.0,101,1.0,50,60.0
9090,90,16.0,101,1.0,53,74.0
10100,100,24.0,101,1.0,62,76.0
12120,120,16.0,101,1.0,68,104.0
14140,140,12.0,101,-1.0,76,128.0
17170,170,14.0,101,-1.0,92,156.0
20200,200,12.0,101,-1.0,106,188.0
25250,250,0.0,101,1.0,125,250.0
30300,300,8.0,101,-1.0,154,292.0
40400,400,26.0,101,1.0,213,374.0
50500,500,12.0,101,1.0,256,488.0
60600,600,8.0,101,1.0,304,592.0
70700,700,26.0,101,1.0,363,674.0
80800,800,30.0,101,1.0,415,770.0
90900,900,24.0,101,-1.0,462,876.0
101000,1000,26.0,101,-1.0,513,974.0
121200,1200,24.0,101,-1.0,612,1176.0
141400,1400,8.0,101,-1.0,704,1392.0
171700,1700,14.0,101,1.0,857,1686.0
202000,2000,24.0,101,1.0,1012,1976.0
252500,2500,22.0,101,-1.0,1261,2478.0
303000,3000,4.0,101,1.0,1502,2996.0
404000,4000,42.0,101,1.0,2021,3958.0
505000,5000,44.0,101,-1.0,2522,4956.0
606000,6000,-20.0,101,1.0,2990,6020.0
707000,7000,-30.0,101,-1.0,3485,7030.0
808000,8000,-68.0,101,1.0,3966,8068.0
909000,9000,-56.0,101,1.0,4472,9056.0
1010000,10000,-38.0,101,-1.0,4981,10038.0
