steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.7125289002670927,1,-0.7125289002670927,2.0
2,2,-1.544186638430712,1,-0.8316577381636192,4.0
3,3,-2.5265551929117818,1,-0.9823685544810696,6.0
4,4,-2.2875274599534325,1,0.23902773295834945,8.0
5,5,-3.8366750824156166,1,-1.549147622462184,10.0
6,6,-3.3265287982171077,1,0.5101462841985089,12.0
7,7,-4.79370146121926,1,-1.467172663002152,14.0
8,8,-5.403748977093446,1,-0.6100475158741864,16.0
9,9,-8.899167145253259,1,-3.4954181681598113,18.0
10,10,-10.040640810009279,1,-1.1414736647560204,20.0
12,12,-11.65646413238407,1,-0.6225795444220279,24.0
14,14,-11.711902250681163,1,1.9739885057933604,26.0
17,17,-14.55017021181341,1,-2.451299005812164,30.0
20,20,-15.945333520983532,1,0.16247985053801717,34.0
25,25,-25.48289312833759,1,-1.019337607891125,44.0
30,30,-31.035989555743203,1,-0.2534451622349271,54.0
40,40,-44.487231646920264,1,-1.5454192646250648,72.0
50,50,-42.4523266226823,1,-0.9046814565017327,88.0
60,60,-49.921732605185404,1,-0.7198535535204198,106.0
70,70,-61.7908614852932,1,-0.8883181083017483,124.0
80,80,-74.1129402811819,1,-2.42759070393638,144.0
90,90,-82.08190829962622,1,-1.1776477994162722,160.0
100,100,-96.15768465559367,1,-0.5319773396050862,178.0
120,120,-113.16911393586649,1,-1.6953637033344175,216.0
140,140,-130.18506021664533,1,-0.8029412968144047,256.0
170,170,-147.4195752449976,1,-1.283668794143527,316.0
200,200,-163.1875107413705,1,-2.7385744326109185,366.0
250,250,-203.92347024111044,1,-0.8506755941447477,458.0
300,300,-256.63960876433504,1,-1.6743738960805548,550.0
400,400,-325.5372323467169,1,-2.9061168307546286,726.0
500,500,-394.13174608063883,1,-2.0142708520742363,910.0
600,600,-469.57624306690946,1,-0.13758838517099004,1092.0
700,700,-548.573755812201,1,-3.61794111436372,1266.0
800,800,-637.6259524329682,1,-1.8674126250274146,1446.0
900,900,-724.5467040470448,1,-0.13932702535260688,1632.0
1000,1000,-816.8779866474761,1,0.2967590961565465,1812.0
1200,1200,-980.0499984526859,1,-1.3613775021454992,2172.0
1400,1400,-1112.2692076622423,1,-2.055357407486098,2528.0
1700,1700,-1321.6230146403298,1,-0.5015625812140646,3062.0
2000,2000,-1546.89359856845,1,-0.4479097103001799,3606.0
2500,2500,-1972.1713389579331,1,-0.9960899819229795,4508.0
3000,3000,-2378.594036101958,1,-1.6994807650525798,5386.0
4000,4000,-3169.6897079470787,1,-1.9927062910934685,7160.0
5000,5000,-3836.0699109547486,1,-0.6967896980414836,8902.0
6000,6000,-4540.092530558164,1,-0.28993938954586895,10626.0
7000,7000,-5252.482995522277,1,-0.6315749730718542,12336.0
8000,8000,-5919.999783603981,1,-1.222086106097271,13984.0
9000,9000,-6571.568766415051,1,-0.4868745260983648,15650.0
10000,10000,-7319.577988374444,1,-2.3459477531776343,17326.0
