steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-30.0,1,-30.0,2.0
2,2,-60.0,1,-30.0,4.0
3,3,-30.0,1,30.0,4.0
4,4,-60.0,1,-30.0,6.0
5,5,-90.0,1,-30.0,8.0
6,6,-120.0,1,-30.0,10.0
7,7,-150.0,1,-30.0,12.0
8,8,-180.0,1,-30.0,14.0
9,9,-210.0,1,-30.0,16.0
10,10,-240.0,1,-30.0,18.0
12,12,-300.0,1,-30.0,22.0
14,14,-360.0,1,-30.0,26.0
17,17,-390.0,1,-30.0,30.0
20,20,-480.0,1,-30.0,36.0
25,25,-630.0,1,-30.0,46.0
30,30,-780.0,1,-30.0,56.0
40,40,-1080.0,1,-30.0,76.0
50,50,-1320.0,1,-30.0,94.0
60,60,-1560.0,1,-30.0,112.0
70,70,-1800.0,1,-30.0,130.0
80,80,-2100.0,1,-30.0,150.0
90,90,-2400.0,1,-30.0,170.0
100,100,-2640.0,1,-30.0,188.0
120,120,-3180.0,1,-30.0,226.0
140,140,-3540.0,1,30.0,258.0
170,170,-4140.0,1,-30.0,308.0
200,200,-4980.0,1,-30.0,366.0
250,250,-6240.0,1,-30.0,458.0
300,300,-7440.0,1,-30.0,548.0
400,400,-9720.0,1,30.0,724.0
500,500,-12120.0,1,-30.0,904.0
600,600,-14400.0,1,-30.0,1080.0
700,700,-16860.0,1,-30.0,1262.0
800,800,-19500.0,1,-30.0,1450.0
900,900,-21540.0,1,-30.0,1618.0
1000,1000,-23880.0,1,-30.0,1796.0
1200,1200,-28860.0,1,-30.0,2162.0
1400,1400,-33420.0,1,30.0,2514.0
1700,1700,-40740.0,1,-30.0,3058.0
2000,2000,-48480.0,1,-30.0,3616.0
2500,2500,-61140.0,1,-30.0,4538.0
3000,3000,-72780.0,1,-30.0,5426.0
4000,4000,-96600.0,1,30.0,7220.0
5000,5000,-120420.0,1,-30.0,9014.0
6000,6000,-143700.0,1,-30.0,10790.0
7000,7000,-167520.0,1,-30.0,12584.0
8000,8000,-191460.0,1,-30.0,14382.0
9000,9000,-214620.0,1,-30.0,16154.0
10000,10000,-237600.0,1,-30.0,17920.0
