steps,episode,total_return,episode_len,episode_return,total_regret
14,1,-8.0,14,-8.0,2.0
28,2,-10.0,14,-2.0,2.0
42,3,-8.0,14,2.0,2.0
56,4,-8.0,14,0.0,4.0
70,5,-6.0,14,2.0,4.0
84,6,-4.0,14,2.0,6.0
98,7,-2.0,14,2.0,6.0
112,8,-2.0,14,0.0,6.0
126,9,-10.0,14,-8.0,6.0
140,10,-14.0,14,-4.0,8.0
168,12,-12.0,14,0.0,10.0
196,14,-16.0,14,0.0,12.0
238,17,-22.0,14,0.0,18.0
280,20,-34.0,14,0.0,24.0
350,25,-40.0,14,-2.0,28.0
420,30,-22.0,14,6.0,34.0
560,40,-14.0,14,2.0,48.0
700,50,-18.0,14,2.0,64.0
840,60,-18.0,14,-2.0,72.0
980,70,4.0,14,6.0,78.0
1120,80,18.0,14,4.0,86.0
1260,90,4.0,14,-8.0,94.0
1400,100,12.0,14,-2.0,106.0
1680,120,-28.0,14,-8.0,128.0
1960,140,-18.0,14,0.0,148.0
2380,170,-4.0,14,4.0,170.0
2800,200,-8.0,14,-2.0,214.0
3500,250,6.0,14,-2.0,260.0
4200,300,30.0,14,6.0,318.0
5600,400,22.0,14,-4.0,418.0
7000,500,60.0,14,4.0,512.0
8400,600,104.0,14,4.0,608.0
9800,700,130.0,14,0.0,704.0
11200,800,110.0,14,-4.0,816.0
12600,900,94.0,14,-4.0,920.0
14000,1000,136.0,14,0.0,1016.0
16800,1200,146.0,14,0.0,1212.0
19600,1400,120.0,14,0.0,1404.0
23800,1700,72.0,14,-4.0,1730.0
28000,2000,176.0,14,2.0,2018.0
35000,2500,254.0,14,2.0,2518.0
42000,3000,310.0,14,0.0,2966.0
56000,4000,98.0,14,0.0,4000.0
70000,5000,74.0,14,-4.0,4908.0
84000,6000,120.0,14,-6.0,5892.0
98000,7000,80.0,14,2.0,6862.0
112000,8000,286.0,14,0.0,7716.0
126000,9000,546.0,14,4.0,8496.0
140000,10000,978.0,14,0.0,9138.0
