steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,1.1,1,0.6000000000000001,0.8999999999999999
3,3,1.3,1,0.2,1.7
4,4,1.6,1,0.30000000000000004,2.4
5,5,2.2,1,0.6000000000000001,2.8
6,6,2.5,1,0.30000000000000004,3.5
7,7,3.3,1,0.8,3.7
8,8,3.8,1,0.5,4.2
9,9,4.2,1,0.4,4.8
10,10,4.7,1,0.5,5.3
12,12,5.7,1,0.2,6.3
14,14,7.000000000000001,1,0.7000000000000001,6.999999999999999
17,17,8.9,1,0.9,8.1
20,20,11.3,1,0.6000000000000001,8.7
25,25,13.3,1,0.1,11.7
30,30,16.5,1,0.8,13.5
40,40,21.3,1,0.9,18.700000000000003
50,50,24.900000000000002,1,0.2,25.1
60,60,30.099999999999998,1,0.30000000000000004,29.900000000000006
70,70,37.300000000000004,1,0.2,32.7
80,80,41.30000000000001,1,0.0,38.699999999999996
90,90,48.20000000000001,1,0.7000000000000001,41.8
100,100,52.8,1,1.0,47.20000000000001
120,120,61.99999999999999,1,0.7000000000000001,58.000000000000014
140,140,72.20000000000002,1,0.6000000000000001,67.79999999999998
170,170,87.20000000000005,1,0.4,82.79999999999995
200,200,103.30000000000007,1,0.4,96.69999999999993
250,250,127.0000000000001,1,0.5,122.9999999999999
300,300,150.7000000000001,1,1.0,149.2999999999999
400,400,196.0000000000002,1,0.0,203.9999999999998
500,500,242.5000000000002,1,0.4,257.49999999999983
600,600,293.60000000000014,1,0.7000000000000001,306.3999999999999
700,700,342.1000000000003,1,0.5,357.89999999999975
800,800,393.2000000000003,1,0.5,406.7999999999998
900,900,447.7000000000001,1,0.9,452.29999999999995
1000,1000,491.9999999999999,1,0.2,508.00000000000017
1200,1200,589.4000000000001,1,0.4,610.5999999999999
1400,1400,706.3,1,0.9,693.7
1700,1700,887.3000000000011,1,0.1,812.6999999999989
2000,2000,1085.8000000000015,1,0.9,914.1999999999986
2500,2500,1418.5000000000014,1,0.1,1081.4999999999986
3000,3000,1775.2000000000005,1,1.0,1224.7999999999995
4000,4000,2556.1000000000004,1,0.2,1443.899999999999
5000,5000,3411.2000000000007,1,1.0,1588.7999999999986
6000,6000,4342.9000000000015,1,1.0,1657.0999999999988
7000,7000,5322.599999999999,1,1.0,1677.3999999999983
8000,8000,6297.3,1,1.0,1702.6999999999985
9000,9000,7270.200000000001,1,1.0,1729.7999999999986
10000,10000,8240.100000000004,1,1.0,1759.8999999999994
