steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.0,100,1.0
700,7,7.0,100,1.0
800,8,8.0,100,1.0
900,9,9.1,100,1.1
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.2,100,1.0
1700,17,17.4,100,1.1
2000,20,20.4,100,1.0
2500,25,25.4,100,1.0
3000,30,30.5,100,1.0
4000,40,40.6,100,1.0
5000,50,50.800000000000004,100,1.1
6000,60,61.00000000000001,100,1.0
7000,70,71.3,100,1.1
8000,80,81.39999999999999,100,1.0
9000,90,91.49999999999999,100,1.0
10000,100,101.69999999999997,100,1.0
12000,120,121.79999999999997,100,1.0
14000,140,141.99999999999997,100,1.0
17000,170,172.29999999999995,100,1.0
20000,200,202.59999999999994,100,1.0
25000,250,253.2999999999999,100,1.0
30000,300,303.59999999999997,100,1.0
40000,400,404.3000000000001,100,1.0
50000,500,504.90000000000026,100,1.0
60000,600,605.1000000000004,100,1.0
70000,700,705.2000000000004,100,1.0
80000,800,805.6000000000005,100,1.0
90000,900,905.7000000000005,100,1.0
100000,1000,1005.9000000000005,100,1.0
