steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,1.2000000000000002,1,0.7000000000000001,0.7999999999999999
3,3,1.8000000000000003,1,0.6000000000000001,1.1999999999999997
4,4,2.1000000000000005,1,0.30000000000000004,1.8999999999999997
5,5,3.0000000000000004,1,0.9,1.9999999999999996
6,6,3.9000000000000004,1,0.9,2.0999999999999996
7,7,4.6000000000000005,1,0.7000000000000001,2.3999999999999995
8,8,4.800000000000001,1,0.2,3.1999999999999993
9,9,5.4,1,0.6000000000000001,3.599999999999999
10,10,6.4,1,1.0,3.599999999999999
12,12,7.0,1,0.30000000000000004,4.999999999999999
14,14,8.7,1,0.7000000000000001,5.299999999999999
17,17,10.2,1,0.9,6.799999999999999
20,20,11.399999999999999,1,0.7000000000000001,8.6
25,25,13.5,1,0.30000000000000004,11.499999999999998
30,30,15.200000000000001,1,0.1,14.799999999999997
40,40,21.6,1,0.6000000000000001,18.399999999999995
50,50,25.700000000000003,1,0.6000000000000001,24.299999999999994
60,60,31.300000000000008,1,0.30000000000000004,28.69999999999999
70,70,34.900000000000006,1,0.30000000000000004,35.099999999999994
80,80,40.60000000000001,1,1.0,39.39999999999999
90,90,45.4,1,0.4,44.6
100,100,49.69999999999999,1,0.0,50.30000000000001
120,120,58.29999999999999,1,0.4,61.70000000000001
140,140,67.99999999999999,1,0.8,72.00000000000001
170,170,80.19999999999997,1,0.8,89.80000000000003
200,200,97.19999999999997,1,0.1,102.80000000000003
250,250,121.99999999999996,1,0.1,128.00000000000003
300,300,147.39999999999995,1,0.2,152.60000000000005
400,400,196.6999999999998,1,0.5,203.3000000000002
500,500,247.1999999999997,1,1.0,252.8000000000003
600,600,291.8999999999995,1,0.0,308.1000000000004
700,700,341.49999999999926,1,0.5,358.5000000000007
800,800,393.1999999999994,1,0.5,406.8000000000005
900,900,448.89999999999924,1,0.6000000000000001,451.1000000000007
1000,1000,495.6999999999992,1,0.8,504.30000000000075
1200,1200,633.8999999999922,1,0.8,566.1000000000073
1400,1400,817.3999999999894,1,0.2,582.6000000000101
1700,1700,1111.4999999999893,1,1.0,588.5000000000102
2000,2000,1403.7999999999897,1,1.0,596.2000000000102
2500,2500,1892.3999999999892,1,1.0,607.6000000000104
3000,3000,2376.5999999999885,1,1.0,623.4000000000102
4000,4000,3345.4999999999877,1,1.0,654.50000000001
5000,5000,4319.499999999987,1,1.0,680.5000000000101
6000,6000,5296.599999999988,1,1.0,703.4000000000101
7000,7000,6273.599999999987,1,1.0,726.4000000000101
8000,8000,7253.599999999987,1,1.0,746.4000000000101
9000,9000,8220.999999999987,1,1.0,779.0000000000099
10000,10000,9196.899999999987,1,1.0,803.1000000000099
