steps,episode,total_return,episode_len,episode_return,total_regret
1,1,4.063440860428707,1,4.063440860428707,0.6
2,2,-0.8348826093830946,1,-4.8983234698118014,0.7999999999999999
3,3,9.948240132195078,1,10.783122741578172,0.7999999999999999
4,4,5.997534716487188,1,-3.9507054157078905,1.2999999999999998
5,5,6.24273855732406,1,0.24520384083687202,1.5999999999999996
6,6,2.73852835752436,1,-3.5042101997997,2.0999999999999996
7,7,-2.0681139026846322,1,-4.806642260208992,3.0999999999999996
8,8,15.153348734813939,1,17.221462637498572,3.0999999999999996
9,9,20.432006869727093,1,5.278658134913154,3.6999999999999997
10,10,22.039313213750727,1,1.6073063440236341,4.199999999999999
12,12,34.667330889632666,1,7.619410168142564,4.199999999999999
14,14,10.286002137150918,1,-13.192688094699433,5.199999999999999
17,17,34.50536441123577,1,4.287424657140422,6.3999999999999995
20,20,38.75556356719167,1,4.219852790159157,7.0
25,25,47.20708483785984,1,6.523993533760895,10.0
30,30,46.15420214755875,1,7.104236969702455,13.600000000000001
40,40,88.74371812856003,1,18.78040357301707,18.200000000000003
50,50,102.62308381620132,1,2.3987638011880454,22.6
60,60,158.21734668292046,1,-1.3116663170874545,27.4
70,70,85.00256609826197,1,-1.089581172781294,33.699999999999996
80,80,59.87901992037778,1,6.782798355426386,38.39999999999999
90,90,42.85747733001327,1,-0.9496658671451749,42.19999999999998
100,100,8.084611203527858,1,13.461801724908085,47.599999999999994
120,120,29.69508779747026,1,-1.3215669030057926,57.39999999999999
140,140,45.09317003791531,1,-8.68519380676422,69.0
170,170,126.19191640397418,1,1.0784465895213264,85.60000000000001
200,200,178.82584503420452,1,14.43181709233588,100.40000000000002
250,250,378.15859779454945,1,6.113649784992401,126.20000000000002
300,300,374.8078012028959,1,6.426183677622533,151.5
400,400,354.77693530981554,1,1.1045742419654827,200.10000000000002
500,500,561.5813482590794,1,3.4414440077115587,248.3
600,600,707.5017692075669,1,1.8598964940308633,294.20000000000016
700,700,662.3935373045425,1,-0.9388709397540234,344.7000000000002
800,800,676.1305218065354,1,-7.494932735988013,390.20000000000044
900,900,591.7995962889099,1,16.83450556529002,440.50000000000045
1000,1000,711.4577577145762,1,-15.235363941962195,493.7000000000004
1200,1200,852.8652994381374,1,-4.674662602283015,536.5999999999976
1400,1400,1091.710932727228,1,0.49470716705040996,599.4999999999889
1700,1700,1407.7438056961962,1,-7.947876559570772,697.3999999999777
2000,2000,1444.6809022340726,1,9.983276367628514,789.3999999999646
2500,2500,1768.229400898091,1,7.222713720995421,861.5999999999685
3000,3000,2236.1981712536463,1,5.698125202188267,932.9999999999793
4000,4000,2519.9987611866422,1,12.956623830515618,1145.9999999999702
5000,5000,2988.2501844548137,1,1.7158791311407877,1423.9999999999343
6000,6000,3607.5815230150547,1,0.8146586864206479,1652.7999999998726
7000,7000,4294.553929755053,1,1.885399058506044,2052.4999999998545
8000,8000,4714.413131782536,1,-5.605310839265023,2347.8000000000097
9000,9000,5255.887179042929,1,-11.730469836903373,2473.7999999999242
10000,10000,5789.517951254884,1,2.4371949653932456,2744.800000000045
