steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.027,1,0.027,0.09999999999999998
2,2,0.045,1,0.018000000000000002,0.4999999999999999
3,3,0.069,1,0.024,0.6999999999999998
4,4,0.07800000000000001,1,0.009000000000000001,1.4
5,5,0.10500000000000001,1,0.027,1.5
6,6,0.11400000000000002,1,0.009000000000000001,2.2
7,7,0.138,1,0.024,2.4000000000000004
8,8,0.15300000000000002,1,0.015,2.9000000000000004
9,9,0.15600000000000003,1,0.003,3.8000000000000003
10,10,0.16500000000000004,1,0.009000000000000001,4.5
12,12,0.20100000000000004,1,0.024,5.3
14,14,0.22800000000000004,1,0.027,6.3999999999999995
17,17,0.24600000000000005,1,0.009000000000000001,8.799999999999999
20,20,0.2790000000000001,1,0.009000000000000001,10.699999999999998
25,25,0.36000000000000015,1,0.027,12.999999999999996
30,30,0.42900000000000016,1,0.03,15.699999999999998
40,40,0.5670000000000003,1,0.012,21.099999999999994
50,50,0.7710000000000005,1,0.03,24.299999999999994
60,60,0.9360000000000006,1,0.027,28.79999999999999
70,70,1.1310000000000002,1,0.027,32.29999999999999
80,80,1.254,1,0.012,38.19999999999998
90,90,1.3979999999999995,1,0.0,43.39999999999998
100,100,1.562999999999999,1,0.03,47.89999999999997
120,120,1.8119999999999985,1,0.0,59.599999999999966
140,140,2.1419999999999977,1,0.024,68.59999999999998
170,170,2.531999999999997,1,0.0,85.6
200,200,2.9969999999999954,1,0.024,100.10000000000001
250,250,3.7409999999999926,1,0.03,125.30000000000001
300,300,4.433999999999995,1,0.03,152.19999999999996
400,400,5.879999999999994,1,0.021,203.99999999999991
500,500,7.331999999999995,1,0.015,255.60000000000002
600,600,8.778,1,0.018000000000000002,307.4000000000002
700,700,10.380000000000003,1,0.009000000000000001,354.0000000000003
800,800,11.78400000000002,1,0.03,407.20000000000016
900,900,13.359000000000018,1,0.024,454.7000000000004
1000,1000,14.808000000000023,1,0.027,506.4000000000003
1200,1200,19.590000000000167,1,0.03,547.000000000001
1400,1400,25.401000000000387,1,0.03,553.3000000000009
1700,1700,34.24200000000072,1,0.03,558.6000000000007
2000,2000,43.08900000000106,1,0.03,563.7000000000005
2500,2500,57.57900000000161,1,0.03,580.7000000000002
3000,3000,72.19800000000215,1,0.03,593.4000000000002
4000,4000,101.36400000000326,1,0.03,621.1999999999998
5000,5000,130.5840000000039,1,0.027,647.2000000000006
6000,6000,159.42900000000313,1,0.03,685.700000000002
7000,7000,188.66400000000382,1,0.03,711.2000000000021
8000,8000,217.86000000000453,1,0.03,738.000000000002
9000,9000,247.26900000000535,1,0.03,757.700000000002
10000,10000,276.0929999999889,1,0.03,796.9000000000043
