steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.1,100,1.1
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.2,100,1.1
900,9,9.2,100,1.0
1000,10,10.2,100,1.0
1200,12,12.2,100,1.0
1400,14,14.399999999999999,100,1.1
1700,17,17.4,100,1.0
2000,20,20.5,100,1.1
2500,25,25.6,100,1.1
3000,30,30.700000000000003,100,1.0
4000,40,40.800000000000004,100,1.0
5000,50,51.00000000000001,100,1.0
6000,60,61.20000000000001,100,1.0
7000,70,71.79999999999998,100,1.0
8000,80,82.29999999999995,100,1.1
9000,90,92.59999999999994,100,1.0
10000,100,103.09999999999991,100,1.1
12000,120,124.09999999999985,100,1.1
14000,140,145.1999999999998,100,1.0
17000,170,176.5999999999997,100,1.0
20000,200,208.5999999999996,100,1.1
25000,250,262.1999999999995,100,1.0
30000,300,315.7000000000003,100,1.1
40000,400,424.2000000000022,100,1.1
50000,500,534.2000000000045,100,1.1
60000,600,643.6000000000066,100,1.0
70000,700,753.4000000000088,100,1.1
80000,800,862.900000000011,100,1.1
90000,900,972.5000000000132,100,1.1
100000,1000,1082.0000000000098,100,1.1
120000,1200,1301.3999999999921,100,1.1
140000,1400,1520.5999999999747,100,1.1
170000,1700,1849.0999999999487,100,1.1
200000,2000,2178.3999999999223,100,1.1
250000,2500,2726.3999999998787,100,1.1
300000,3000,3273.099999999836,100,1.1
400000,4000,4291.49999999982,100,1.0
