steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,-2.0,3,-1.0,5,14.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-7.0,3,-1.0,5,24.0
60,20,-6.0,3,1.0,7,26.0
75,25,-3.0,3,1.0,11,28.0
90,30,0.0,3,-1.0,15,30.0
120,40,-6.0,3,1.0,17,46.0
150,50,-4.0,3,1.0,23,54.0
180,60,-2.0,3,1.0,29,62.0
210,70,-6.0,3,-1.0,32,76.0
240,80,-2.0,3,1.0,39,82.0
270,90,0.0,3,1.0,45,90.0
300,100,0.0,3,-1.0,50,100.0
360,120,-2.0,3,1.0,59,122.0
420,140,4.0,3,1.0,72,136.0
510,170,14.0,3,1.0,92,156.0
600,200,16.0,3,-1.0,108,184.0
750,250,-6.0,3,-1.0,122,256.0
900,300,-18.0,3,-1.0,141,318.0
1200,400,-18.0,3,-1.0,191,418.0
1500,500,-28.0,3,-1.0,236,528.0
1800,600,-18.0,3,1.0,291,618.0
2100,700,-16.0,3,1.0,342,716.0
2400,800,-30.0,3,-1.0,385,830.0
2700,900,-32.0,3,1.0,434,932.0
3000,1000,-24.0,3,-1.0,488,1024.0
3600,1200,-34.0,3,1.0,583,1234.0
4200,1400,-2.0,3,-1.0,699,1402.0
5100,1700,46.0,3,1.0,873,1654.0
6000,2000,60.0,3,-1.0,1030,1940.0
7500,2500,150.0,3,-1.0,1325,2350.0
9000,3000,250.0,3,-1.0,1625,2750.0
12000,4000,500.0,3,1.0,2250,3500.0
15000,5000,782.0,3,-1.0,2891,4218.0
18000,6000,1048.0,3,-1.0,3524,4952.0
21000,7000,1282.0,3,-1.0,4141,5718.0
24000,8000,1518.0,3,-1.0,4759,6482.0
27000,9000,1808.0,3,1.0,5404,7192.0
30000,10000,2054.0,3,1.0,6027,7946.0
36000,12000,2518.0,3,1.0,7259,9482.0
42000,14000,2938.0,3,1.0,8469,11062.0
51000,17000,3748.0,3,1.0,10374,13252.0
60000,20000,4454.0,3,-1.0,12227,15546.0
75000,25000,5700.0,3,-1.0,15350,19300.0
90000,30000,6924.0,3,1.0,18462,23076.0
