steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,0.0,1,-1.0,2.0
3,3,1.0,1,1.0,2.0
4,4,0.0,1,-1.0,4.0
5,5,-1.0,1,-1.0,6.0
6,6,-2.0,1,-1.0,8.0
7,7,-3.0,1,-1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-16.0,1,-1.0,36.0
25,25,-19.0,1,1.0,44.0
30,30,-24.0,1,-1.0,54.0
40,40,-34.0,1,-1.0,74.0
50,50,-42.0,1,-1.0,92.0
60,60,-50.0,1,-1.0,110.0
70,70,-54.0,1,-1.0,124.0
80,80,-64.0,1,-1.0,144.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,-1.0,178.0
120,120,-94.0,1,-1.0,214.0
140,140,-112.0,1,-1.0,252.0
170,170,-140.0,1,1.0,310.0
200,200,-162.0,1,-1.0,362.0
250,250,-196.0,1,-1.0,446.0
300,300,-238.0,1,-1.0,538.0
400,400,-314.0,1,-1.0,714.0
500,500,-402.0,1,-1.0,902.0
600,600,-484.0,1,-1.0,1084.0
700,700,-562.0,1,-1.0,1262.0
800,800,-650.0,1,-1.0,1450.0
900,900,-740.0,1,-1.0,1640.0
1000,1000,-824.0,1,-1.0,1824.0
1200,1200,-972.0,1,-1.0,2172.0
1400,1400,-1124.0,1,-1.0,2524.0
1700,1700,-1364.0,1,-1.0,3064.0
2000,2000,-1578.0,1,-1.0,3578.0
2500,2500,-1964.0,1,-1.0,4464.0
3000,3000,-2324.0,1,-1.0,5324.0
4000,4000,-3006.0,1,-1.0,7006.0
5000,5000,-3610.0,1,-1.0,8610.0
6000,6000,-4216.0,1,1.0,10216.0
7000,7000,-4784.0,1,-1.0,11784.0
8000,8000,-5348.0,1,1.0,13348.0
9000,9000,-5810.0,1,1.0,14810.0
10000,10000,-6296.0,1,-1.0,16296.0
