steps,episode,total_return,episode_len,episode_return,total_regret
1,1,7.680379879388893,1,7.680379879388893,2.0
2,2,21.444640341042955,1,13.764260461654063,2.0
3,3,30.715088381348185,1,9.27044804030523,4.0
4,4,24.826884313602697,1,-5.888204067745489,6.0
5,5,16.43766882171134,1,-8.389215491891356,8.0
6,6,6.019299511458193,1,-10.418369310253148,10.0
7,7,13.484756055187658,1,7.465456543729465,10.0
8,8,5.643999768326674,1,-7.840756286860984,12.0
9,9,4.380178318787907,1,-1.2638214495387672,14.0
10,10,-3.8302888963939203,1,-8.210467215181827,16.0
12,12,-8.29770063253819,1,0.3854906191390316,18.0
14,14,-10.774005056438853,1,4.69236300073084,22.0
17,17,-34.577749520677635,1,-0.8611910268710615,28.0
20,20,-38.29081082367706,1,-11.27760033066836,34.0
25,25,-58.54043114487326,1,1.3455184564487777,42.0
30,30,-9.349637485872659,1,9.28619344719096,52.0
40,40,5.56616087690043,1,-0.6288042954266491,68.0
50,50,-25.919085638342498,1,-0.2276408047776476,86.0
60,60,-31.684882352154574,1,-23.994876656843072,104.0
70,70,-75.7574785897188,1,8.153021166513653,122.0
80,80,-76.38982063435755,1,-0.3795911360845734,142.0
90,90,-122.31836499742488,1,2.3158853966335466,158.0
100,100,-129.39393943079776,1,-8.904792159595003,176.0
120,120,-204.89218570855883,1,-6.209843890361707,216.0
140,140,-185.5198159893734,1,-15.022805228413555,256.0
170,170,-240.2192624374745,1,4.402584395904934,308.0
200,200,-274.0854705425228,1,21.649177492424137,362.0
250,250,-312.74063049130507,1,4.023315590617493,450.0
300,300,-361.95447910313226,1,-4.785281326627373,544.0
400,400,-366.42034974342045,1,15.71937810438289,720.0
500,500,-483.8952620186937,1,-7.392641083096749,900.0
600,600,-426.42202152126663,1,-3.779230259583052,1082.0
700,700,-495.2775039897021,1,-6.218882760517075,1260.0
800,800,-499.35563196977427,1,-18.89169271600673,1428.0
900,900,-621.8979197814976,1,17.578387451281806,1596.0
1000,1000,-819.8616391388799,1,-1.7622558656750473,1782.0
1200,1200,-1046.2696868134044,1,-4.238486453221141,2160.0
1400,1400,-1181.1730920775658,1,17.88438074155749,2510.0
1700,1700,-1661.6939759455486,1,-20.965095172032218,3048.0
2000,2000,-1907.6116253484895,1,-8.0181646601712,3580.0
2500,2500,-2074.177168370501,1,-6.1384929205437295,4486.0
3000,3000,-2305.008948575338,1,6.918633379961228,5386.0
4000,4000,-3331.583768502276,1,-5.95999632384324,7196.0
5000,5000,-4624.986799391457,1,6.288247491684292,9002.0
6000,6000,-5539.810204612888,1,-14.335320877202646,10788.0
7000,7000,-6058.340462391151,1,-4.944426207504288,12576.0
8000,8000,-6788.377629587778,1,-7.305052192411219,14336.0
9000,9000,-7863.766998786296,1,-22.54586620863053,16146.0
10000,10000,-9269.732267234345,1,-10.212589446597063,17936.0
