steps,episode,total_return,episode_len,episode_return,total_regret
1,1,30.0,1,30.0,0.0
2,2,0.0,1,-30.0,2.0
3,3,-30.0,1,-30.0,4.0
4,4,-60.0,1,-30.0,6.0
5,5,-90.0,1,-30.0,8.0
6,6,-120.0,1,-30.0,10.0
7,7,-150.0,1,-30.0,12.0
8,8,-180.0,1,-30.0,14.0
9,9,-150.0,1,30.0,14.0
10,10,-180.0,1,-30.0,16.0
12,12,-240.0,1,-30.0,20.0
14,14,-240.0,1,-30.0,22.0
17,17,-330.0,1,-30.0,28.0
20,20,-360.0,1,-30.0,32.0
25,25,-450.0,1,-30.0,40.0
30,30,-600.0,1,-30.0,50.0
40,40,-900.0,1,-30.0,70.0
50,50,-1140.0,1,-30.0,88.0
60,60,-1440.0,1,-30.0,108.0
70,70,-1740.0,1,-30.0,128.0
80,80,-1920.0,1,-30.0,144.0
90,90,-2220.0,1,-30.0,164.0
100,100,-2520.0,1,-30.0,184.0
120,120,-3000.0,1,-30.0,220.0
140,140,-3540.0,1,-30.0,258.0
170,170,-4260.0,1,-30.0,312.0
200,200,-4980.0,1,-30.0,366.0
250,250,-6120.0,1,-30.0,454.0
300,300,-7140.0,1,-30.0,538.0
400,400,-9240.0,1,-30.0,708.0
500,500,-11880.0,1,-30.0,896.0
600,600,-14400.0,1,-30.0,1080.0
700,700,-16500.0,1,-30.0,1250.0
800,800,-18960.0,1,-30.0,1432.0
900,900,-21420.0,1,-30.0,1614.0
1000,1000,-24060.0,1,-30.0,1802.0
1200,1200,-28800.0,1,-30.0,2160.0
1400,1400,-33600.0,1,-30.0,2520.0
1700,1700,-40500.0,1,-30.0,3050.0
2000,2000,-47220.0,1,-30.0,3574.0
2500,2500,-58740.0,1,-30.0,4458.0
3000,3000,-70860.0,1,-30.0,5362.0
4000,4000,-94080.0,1,-30.0,7136.0
5000,5000,-117060.0,1,30.0,8902.0
6000,6000,-139680.0,1,-30.0,10656.0
7000,7000,-163740.0,1,-30.0,12458.0
8000,8000,-187200.0,1,30.0,14240.0
9000,9000,-211320.0,1,-30.0,16044.0
10000,10000,-234060.0,1,-30.0,17802.0
