steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,8.0,20,4.0,4.0
60,3,8.0,20,0.0,6.0
80,4,16.0,20,8.0,6.0
100,5,12.0,20,-4.0,8.0
120,6,6.0,20,-6.0,10.0
140,7,6.0,20,0.0,10.0
160,8,2.0,20,-4.0,12.0
180,9,-2.0,20,-4.0,12.0
200,10,-6.0,20,-4.0,12.0
240,12,4.0,20,2.0,14.0
280,14,6.0,20,-2.0,14.0
340,17,-4.0,20,-4.0,18.0
400,20,-8.0,20,-4.0,20.0
500,25,-12.0,20,-6.0,24.0
600,30,-32.0,20,-2.0,30.0
800,40,-34.0,20,0.0,46.0
1000,50,-46.0,20,6.0,60.0
1200,60,-34.0,20,4.0,70.0
1400,70,4.0,20,6.0,78.0
1600,80,-2.0,20,-2.0,90.0
1800,90,-32.0,20,-10.0,98.0
2000,100,-42.0,20,2.0,104.0
2400,120,-50.0,20,0.0,132.0
2800,140,-26.0,20,-6.0,158.0
3400,170,24.0,20,6.0,190.0
4000,200,-14.0,20,-4.0,228.0
5000,250,12.0,20,-4.0,274.0
6000,300,-30.0,20,-2.0,322.0
8000,400,48.0,20,6.0,434.0
10000,500,50.0,20,4.0,536.0
12000,600,10.0,20,-4.0,652.0
14000,700,22.0,20,-2.0,764.0
16000,800,8.0,20,-2.0,872.0
18000,900,26.0,20,2.0,966.0
20000,1000,34.0,20,-8.0,1068.0
24000,1200,110.0,20,2.0,1276.0
28000,1400,222.0,20,4.0,1488.0
34000,1700,72.0,20,-2.0,1808.0
40000,2000,-196.0,20,2.0,2174.0
50000,2500,-370.0,20,-2.0,2732.0
60000,3000,-344.0,20,0.0,3276.0
80000,4000,-132.0,20,-2.0,4120.0
100000,5000,288.0,20,0.0,4690.0
120000,6000,678.0,20,0.0,5330.0
140000,7000,1186.0,20,-6.0,5982.0
160000,8000,1686.0,20,0.0,6608.0
180000,9000,2288.0,20,-2.0,6890.0
200000,10000,2762.0,20,0.0,7110.0
240000,12000,4360.0,20,-2.0,7330.0
280000,14000,6148.0,20,4.0,7518.0
340000,17000,8896.0,20,0.0,7848.0
400000,20000,10758.0,20,2.0,8880.0
500000,25000,15268.0,20,12.0,9862.0
600000,30000,19446.0,20,8.0,10538.0
800000,40000,28848.0,20,-4.0,11504.0
