steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
40,1,-0.004500000000000002,40,-0.004500000000000002,1,0
80,2,-0.009250000000000006,40,-0.0047500000000000025,1,0
120,3,-0.015000000000000012,40,-0.005750000000000003,2,0
160,4,-0.020500000000000015,40,-0.005500000000000003,3,0
200,5,1.9688821448123994,40,1.9893821448123994,4,0
240,6,1.964382144812398,40,-0.004500000000000002,5,0
280,7,1.958882144812396,40,-0.005500000000000003,6,0
320,8,1.952632144812394,40,-0.006250000000000004,7,0
360,9,1.9461321448123918,40,-0.006500000000000004,8,0
400,10,1.9421321448123905,40,-0.004000000000000002,9,0
480,12,1.9323821448123872,40,-0.0047500000000000025,11,0
560,14,1.9238821448123844,40,-0.0047500000000000025,13,0
680,17,1.9088821448123794,40,-0.0047500000000000025,16,0
800,20,1.892632144812374,40,-0.004500000000000002,19,0
1000,25,1.8678821448123657,40,-0.005500000000000003,24,0
1200,30,1.8423821448123572,40,-0.0047500000000000025,28,0
1600,40,0.3476938175781337,40,-0.005000000000000003,37,0
2000,50,0.29094381757814,40,-0.005250000000000003,47,0
2400,60,0.23619381757814445,40,-0.005250000000000003,56,0
2800,70,-1.8860175651274538,40,-0.005250000000000003,65,0
3200,80,-1.9400175651274718,40,-0.0070000000000000045,74,0
3600,90,-1.991267565127489,40,-0.005750000000000003,84,0
4000,100,-1.254303378421888,40,0.7844641867055799,93,0
4800,120,-1.6837308889473301,40,-0.005500000000000003,112,0
5600,140,-2.3654868027779132,40,-0.005250000000000003,131,0
6800,170,-0.47714768778372973,40,-0.005500000000000003,161,0
8000,200,-0.6318976877837127,40,-0.0047500000000000025,189,0
10000,250,1.2725742453809652,40,-0.0047500000000000025,239,0
12000,300,3.2049617869638856,40,-0.004500000000000002,284,0
16000,400,4.3206622390653475,40,-0.0047500000000000025,376,0
20000,500,6.972942675395246,40,-0.006250000000000004,471,0
24000,600,3.4478820853903533,40,-0.006250000000000004,564,0
28000,700,1.327974308175018,40,-0.005000000000000003,659,0
32000,800,2.847782759518842,40,-0.005000000000000003,754,0
36000,900,0.12130875094864063,40,-0.006250000000000004,850,0
40000,1000,-0.8320282309502193,40,-0.005500000000000003,940,0
48000,1200,4.253234940188573,40,-0.006000000000000004,1131,0
56000,1400,5.344420043566424,40,-0.005000000000000003,1317,0
68000,1700,1.8780104943840867,40,-0.005250000000000003,1602,0
80000,2000,-2.7867878154367824,40,0.33578767181816804,1887,0
100000,2500,9.924048372986034,40,1.0954857157406654,2366,0
120000,3000,6.044726517689417,40,-1.3420672917981546,2820,0
160000,4000,-19.498868110660393,40,-0.005250000000000003,3779,0
200000,5000,-18.172906588022023,40,-0.0047500000000000025,4695,0
240000,6000,-26.56534675362157,40,0.7221897980309134,5656,0
280000,7000,-2.744549054876539,40,0.2110558417747965,6646,0
320000,8000,-1.6167023683101838,40,-0.0047500000000000025,7539,0
360000,9000,16.333440227867598,40,-0.005000000000000003,8449,0
400000,10000,53.01306103800567,40,-0.004500000000000002,9374,0
480000,12000,64.37415366003815,40,-0.0037500000000000016,11300,0
560000,14000,39.66756358512439,40,-0.004500000000000002,13208,0
680000,17000,65.06997202097288,40,-0.0070000000000000045,15963,0
800000,20000,28.436800463046094,40,-0.006250000000000004,18705,0
1000000,25000,4.336321710795018,40,-1.633394506190068,23315,0
