steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-5.0,1,1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-28.0,1,-1.0,58.0
40,40,-38.0,1,-1.0,78.0
50,50,-48.0,1,-1.0,98.0
60,60,-54.0,1,-1.0,114.0
70,70,-62.0,1,-1.0,132.0
80,80,-70.0,1,-1.0,150.0
90,90,-76.0,1,-1.0,166.0
100,100,-82.0,1,-1.0,182.0
120,120,-98.0,1,-1.0,218.0
140,140,-116.0,1,-1.0,256.0
170,170,-144.0,1,-1.0,314.0
200,200,-166.0,1,-1.0,366.0
250,250,-208.0,1,-1.0,458.0
300,300,-244.0,1,-1.0,544.0
400,400,-334.0,1,-1.0,734.0
500,500,-414.0,1,-1.0,914.0
600,600,-496.0,1,-1.0,1096.0
700,700,-572.0,1,1.0,1272.0
800,800,-654.0,1,-1.0,1454.0
900,900,-730.0,1,1.0,1630.0
1000,1000,-822.0,1,-1.0,1822.0
1200,1200,-984.0,1,-1.0,2184.0
1400,1400,-1128.0,1,-1.0,2528.0
1700,1700,-1352.0,1,-1.0,3052.0
2000,2000,-1576.0,1,-1.0,3576.0
2500,2500,-1934.0,1,-1.0,4434.0
3000,3000,-2250.0,1,-1.0,5250.0
4000,4000,-2902.0,1,-1.0,6902.0
5000,5000,-3476.0,1,1.0,8476.0
6000,6000,-4028.0,1,-1.0,10028.0
7000,7000,-4546.0,1,-1.0,11546.0
8000,8000,-5100.0,1,1.0,13100.0
9000,9000,-5602.0,1,1.0,14602.0
10000,10000,-6072.0,1,-1.0,16072.0
