steps,episode,total_return,episode_len,episode_return,total_regret
100,1,-8.0,100,-8.0,0.0
200,2,-2.0,100,6.0,0.0
300,3,10.0,100,12.0,0.0
400,4,2.0,100,-8.0,0.0
500,5,-12.0,100,-14.0,2.0
600,6,10.0,100,22.0,2.0
700,7,8.0,100,-2.0,4.0
800,8,4.0,100,-4.0,4.0
900,9,16.0,100,12.0,4.0
1000,10,-2.0,100,-18.0,4.0
1200,12,-4.0,100,6.0,6.0
1400,14,-6.0,100,-14.0,8.0
1700,17,8.0,100,4.0,10.0
2000,20,2.0,100,-18.0,14.0
2500,25,-14.0,100,2.0,20.0
3000,30,-76.0,100,-8.0,26.0
4000,40,-32.0,100,-4.0,36.0
5000,50,-14.0,100,8.0,46.0
6000,60,-52.0,100,14.0,56.0
7000,70,-20.0,100,-2.0,68.0
8000,80,-24.0,100,-16.0,76.0
9000,90,-70.0,100,-12.0,90.0
10000,100,-70.0,100,-16.0,102.0
12000,120,-64.0,100,14.0,116.0
14000,140,-8.0,100,4.0,142.0
17000,170,38.0,100,-4.0,178.0
20000,200,-14.0,100,-30.0,208.0
25000,250,56.0,100,-16.0,266.0
30000,300,-44.0,100,2.0,320.0
40000,400,-114.0,100,0.0,408.0
50000,500,-116.0,100,-8.0,490.0
60000,600,-210.0,100,-18.0,588.0
70000,700,-196.0,100,-16.0,692.0
80000,800,-282.0,100,-2.0,800.0
90000,900,-362.0,100,-2.0,898.0
100000,1000,-390.0,100,10.0,992.0
120000,1200,-352.0,100,2.0,1228.0
140000,1400,-452.0,100,-2.0,1434.0
170000,1700,-452.0,100,4.0,1764.0
200000,2000,-454.0,100,0.0,2032.0
250000,2500,-714.0,100,-4.0,2536.0
300000,3000,-930.0,100,20.0,3030.0
400000,4000,-944.0,100,-2.0,4002.0
500000,5000,-838.0,100,8.0,5040.0
600000,6000,-1582.0,100,-12.0,6034.0
700000,7000,-1152.0,100,-2.0,7006.0
800000,8000,-1306.0,100,-2.0,7856.0
900000,9000,-1150.0,100,-16.0,8834.0
1000000,10000,-928.0,100,-14.0,9834.0
1200000,12000,-986.0,100,-2.0,11636.0
1400000,14000,-554.0,100,2.0,13624.0
1700000,17000,-178.0,100,0.0,16444.0
2000000,20000,812.0,100,-18.0,19074.0
2500000,25000,812.0,100,-14.0,23558.0
