steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
40,1,-0.0047500000000000025,40,-0.0047500000000000025,1,0
80,2,-0.010000000000000007,40,-0.005250000000000003,2,0
120,3,-0.01400000000000001,40,-0.004000000000000002,3,0
160,4,-0.020000000000000014,40,-0.006000000000000004,4,0
200,5,-0.02550000000000002,40,-0.005500000000000003,5,0
240,6,-0.029250000000000023,40,-0.0037500000000000016,6,0
280,7,-0.03375000000000002,40,-0.004500000000000002,7,0
320,8,-0.03875000000000003,40,-0.005000000000000003,8,0
360,9,-0.04475000000000003,40,-0.006000000000000004,9,0
400,10,-0.04975000000000004,40,-0.005000000000000003,10,0
480,12,-0.06050000000000005,40,-0.005000000000000003,12,0
560,14,-0.06900000000000005,40,-0.0037500000000000016,14,0
680,17,-0.08425000000000006,40,-0.005250000000000003,17,0
800,20,-0.09950000000000007,40,-0.004250000000000002,20,0
1000,25,-0.12550000000000008,40,-0.005000000000000003,25,0
1200,30,-0.1542500000000001,40,-0.006500000000000004,30,0
1600,40,-0.20850000000000016,40,-0.005500000000000003,40,0
2000,50,-0.2597499999999991,40,-0.005250000000000003,50,0
2400,60,-0.31024999999999353,40,-0.004500000000000002,60,0
2800,70,-0.3677499999999872,40,-0.006500000000000004,70,0
3200,80,-0.4169999999999818,40,-0.0035000000000000014,80,0
3600,90,-0.4657499999999764,40,-0.004250000000000002,90,0
4000,100,-0.515499999999971,40,-0.003000000000000001,100,0
4800,120,-0.6189999999999596,40,-0.004250000000000002,120,0
5600,140,-0.7247499999999479,40,-0.004250000000000002,140,0
6800,170,-0.8819999999999306,40,-0.0037500000000000016,170,0
8000,200,-1.0364999999999298,40,-0.005500000000000003,200,0
10000,250,-1.3012500000000182,40,-0.005250000000000003,250,0
12000,300,-1.5650000000001063,40,-0.004000000000000002,300,0
16000,400,-2.0577500000002193,40,-0.005000000000000003,400,0
20000,500,-2.5629999999999393,40,-0.0047500000000000025,500,0
24000,600,-3.064999999999661,40,-0.003250000000000001,600,0
28000,700,-3.5662499999993833,40,-0.006000000000000004,700,0
32000,800,-4.067249999999225,40,-0.004250000000000002,800,0
36000,900,-4.571499999999841,40,-0.005250000000000003,900,0
40000,1000,-5.083750000000467,40,-0.004000000000000002,1000,0
48000,1200,-6.105750000001716,40,-0.003250000000000001,1200,0
56000,1400,-7.117750000002953,40,-0.005500000000000003,1400,0
68000,1700,-8.63975000000254,40,-0.006000000000000004,1700,0
80000,2000,-10.183249999998942,40,-0.005000000000000003,2000,0
100000,2500,-12.559749999993404,40,-0.005000000000000003,2500,0
120000,3000,-14.877249999988003,40,-0.004000000000000002,3000,0
160000,4000,-19.087250000000125,40,-0.004000000000000002,4000,0
200000,5000,-22.503000000016435,40,-0.004000000000000002,5000,0
240000,6000,-26.155250000033874,40,-0.003250000000000001,6000,0
280000,7000,-29.7002500000508,40,-0.003250000000000001,7000,0
320000,8000,-33.10100000006704,40,-0.003000000000000001,8000,0
360000,9000,-37.46600000008788,40,-0.0035000000000000014,9000,0
400000,10000,-42.10475000011003,40,-0.0047500000000000025,10000,0
480000,12000,-48.64475000014126,40,-0.003250000000000001,12000,0
560000,14000,-55.19625000017254,40,-0.005000000000000003,14000,0
680000,17000,-64.59700000020045,40,-0.003250000000000001,17000,0
800000,20000,-73.98074999997856,40,-0.003000000000000001,20000,0
1000000,25000,-89.60974999960898,40,-0.003000000000000001,25000,0
1200000,30000,-105.17624999924088,40,-0.003000000000000001,30000,0
1600000,40000,-136.30199999850487,40,-0.003000000000000001,40000,0
