steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.7000000000000001,1,0.7000000000000001,0.29999999999999993
2,2,0.7000000000000001,1,0.0,1.2999999999999998
3,3,1.2000000000000002,1,0.5,1.7999999999999998
4,4,1.9000000000000004,1,0.7000000000000001,2.0999999999999996
5,5,2.3000000000000003,1,0.4,2.6999999999999997
6,6,2.8000000000000003,1,0.5,3.1999999999999997
7,7,3.2,1,0.4,3.8
8,8,3.2,1,0.0,4.8
9,9,3.6,1,0.4,5.3999999999999995
10,10,4.3,1,0.7000000000000001,5.699999999999999
12,12,5.800000000000001,1,0.6000000000000001,6.199999999999999
14,14,7.000000000000001,1,0.8,6.999999999999999
17,17,9.0,1,0.9,7.999999999999999
20,20,9.9,1,0.1,10.1
25,25,12.500000000000002,1,0.30000000000000004,12.499999999999998
30,30,16.500000000000004,1,0.7000000000000001,13.499999999999998
40,40,22.300000000000004,1,0.7000000000000001,17.699999999999996
50,50,28.8,1,0.5,21.2
60,60,32.199999999999996,1,0.0,27.800000000000004
70,70,39.099999999999994,1,1.0,30.90000000000001
80,80,45.19999999999999,1,0.5,34.80000000000001
90,90,49.29999999999999,1,0.2,40.70000000000001
100,100,55.29999999999998,1,0.9,44.70000000000002
120,120,66.9,1,0.4,53.100000000000016
140,140,77.80000000000003,1,0.2,62.200000000000024
170,170,92.30000000000004,1,0.4,77.7
200,200,107.70000000000005,1,0.0,92.3
250,250,133.20000000000007,1,0.30000000000000004,116.8
300,300,161.50000000000017,1,0.5,138.49999999999994
400,400,214.40000000000015,1,0.2,185.59999999999997
500,500,264.9000000000001,1,0.8,235.09999999999997
600,600,316.7000000000001,1,0.6000000000000001,283.3
700,700,368.1000000000002,1,1.0,331.8999999999999
800,800,417.1000000000004,1,1.0,382.8999999999997
900,900,468.80000000000047,1,0.7000000000000001,431.19999999999965
1000,1000,516.7000000000005,1,0.1,483.2999999999996
1200,1200,664.099999999995,1,0.7000000000000001,535.9000000000026
1400,1400,833.4999999999893,1,1.0,566.5000000000083
1700,1700,1123.099999999989,1,1.0,576.9000000000083
2000,2000,1415.399999999989,1,1.0,584.6000000000084
2500,2500,1902.9999999999889,1,1.0,597.0000000000084
3000,3000,2388.0999999999885,1,1.0,611.9000000000083
4000,4000,3369.899999999991,1,1.0,630.1000000000089
5000,5000,4347.499999999989,1,1.0,652.5000000000089
6000,6000,5322.39999999999,1,1.0,677.6000000000087
7000,7000,6299.099999999992,1,1.0,700.9000000000084
8000,8000,7275.799999999992,1,1.0,724.2000000000089
9000,9000,8258.399999999992,1,1.0,741.6000000000091
10000,10000,9237.299999999992,1,1.0,762.7000000000091
