steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.14271186220876608,1,0.14271186220876608,0.0
2,2,-0.4356782548703909,1,-0.578390117079157,1.0
3,3,-2.2578180593235966,1,-1.8221398044532058,1.1
4,4,5.221822907375952,1,7.479640966699548,1.4
5,5,6.820997139700088,1,1.599174232324137,1.4
6,6,7.381797243498694,1,0.5608001037986061,2.0999999999999996
7,7,2.1354944837457754,1,-5.246302759752918,2.9999999999999996
8,8,-2.709460172995481,1,-4.8449546567412565,3.4999999999999996
9,9,-0.928939929422578,1,1.780520243572903,4.199999999999999
10,10,-1.3829226575922953,1,-0.4539827281697173,4.3999999999999995
12,12,-6.565811521396873,1,0.35015614575367027,5.8999999999999995
14,14,4.2269084993434225,1,5.342641598452024,6.199999999999999
17,17,7.480343702051599,1,2.682818131109528,7.8999999999999995
20,20,7.681059460554646,1,1.5271716683126446,9.099999999999998
25,25,7.040897903773002,1,0.16905754701699754,12.099999999999998
30,30,14.315242727326398,1,-0.08090383903904563,15.299999999999997
40,40,6.044325792554089,1,-1.5956351729252611,20.4
50,50,14.520438537902095,1,0.7372997303152533,23.499999999999996
60,60,34.753748144924586,1,3.2371882888380705,27.399999999999995
70,70,30.987109123616953,1,-3.612197321099592,33.49999999999999
80,80,37.504269378189896,1,2.2727498592509745,37.5
90,90,42.24990303745241,1,0.4866985085634843,42.10000000000001
100,100,51.82279881746344,1,-0.1947046111586781,46.80000000000002
120,120,29.370040264467786,1,0.24513291723090636,57.40000000000002
140,140,39.77068463355935,1,0.031926295202692356,68.30000000000003
170,170,71.5206359787546,1,0.5558707570328081,84.90000000000003
200,200,112.04576408419965,1,1.7821622094646055,101.80000000000004
250,250,153.56319355416917,1,-0.06986663099385981,126.00000000000004
300,300,205.17484197261794,1,2.1348968233888628,149.79999999999995
400,400,196.47857523112773,1,-9.985593245858013,200.99999999999991
500,500,251.3589421916352,1,-3.8117826710925846,249.70000000000005
600,600,284.9854367567594,1,3.0215450176456264,293.9000000000002
700,700,320.7687372293072,1,4.395036418411437,338.9000000000002
800,800,339.52930789151486,1,4.529420287167198,392.40000000000026
900,900,400.38467129884083,1,2.7289180432534326,442.5000000000005
1000,1000,455.50165087323364,1,0.7944258151497913,495.40000000000043
1200,1200,603.0629002443197,1,-0.7619924687390397,572.3999999999921
1400,1400,777.8191833682378,1,4.434059829004561,631.799999999985
1700,1700,1086.1183944299705,1,-1.1534881492153293,636.699999999985
2000,2000,1398.194212623203,1,-0.31962589734149005,645.2999999999852
2500,2500,1793.8833220211473,1,2.837226691102442,729.0999999999852
3000,3000,2250.8867833887025,1,6.154504213210845,780.3999999999853
4000,4000,3143.763572777466,1,0.9553026090232815,806.3999999999851
5000,5000,4131.441289732493,1,2.2620907595713904,836.8999999999847
6000,6000,5048.277424490088,1,4.261506348641028,864.0999999999844
7000,7000,6122.348986987366,1,2.7988581475032204,894.0999999999844
8000,8000,7046.4735440569775,1,0.7683422121632132,978.1999999999819
9000,9000,7808.016599511411,1,0.6023357453967741,1003.8999999999832
10000,10000,8854.440750025793,1,4.607784230185904,1032.5999999999833
