steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,1.0,1,0.5,1.0
3,3,1.5,1,0.5,1.5
4,4,1.5,1,0.0,2.5
5,5,1.9,1,0.4,3.1
6,6,2.7,1,0.8,3.3
7,7,3.6,1,0.9,3.4
8,8,3.8000000000000003,1,0.2,4.2
9,9,4.5,1,0.7000000000000001,4.5
10,10,4.9,1,0.4,5.1
12,12,5.4,1,0.1,6.6
14,14,6.4,1,0.6000000000000001,7.6
17,17,8.5,1,0.6000000000000001,8.5
20,20,9.2,1,0.1,10.8
25,25,12.1,1,0.7000000000000001,12.9
30,30,14.2,1,0.2,15.8
40,40,18.200000000000003,1,0.6000000000000001,21.8
50,50,25.400000000000002,1,0.7000000000000001,24.6
60,60,28.900000000000006,1,0.2,31.099999999999998
70,70,33.70000000000001,1,0.1,36.3
80,80,38.000000000000014,1,0.6000000000000001,41.99999999999999
90,90,44.0,1,0.30000000000000004,46.00000000000001
100,100,49.89999999999999,1,0.9,50.100000000000016
120,120,57.60000000000001,1,0.0,62.4
140,140,69.00000000000001,1,0.30000000000000004,70.99999999999999
170,170,83.00000000000004,1,0.0,86.99999999999996
200,200,94.60000000000004,1,0.9,105.39999999999996
250,250,124.50000000000004,1,0.4,125.49999999999996
300,300,152.69999999999993,1,0.7000000000000001,147.30000000000007
400,400,210.79999999999984,1,0.30000000000000004,189.20000000000016
500,500,259.49999999999994,1,0.30000000000000004,240.50000000000006
600,600,312.59999999999997,1,0.30000000000000004,287.4000000000001
700,700,365.40000000000003,1,0.6000000000000001,334.6
800,800,412.9000000000002,1,0.2,387.09999999999985
900,900,456.0,1,0.1,444.00000000000006
1000,1000,506.3999999999998,1,0.4,493.60000000000025
1200,1200,642.0,1,1.0,558.0000000000001
1400,1400,836.1,1,1.0,563.9000000000001
1700,1700,1125.9,1,1.0,574.1
2000,2000,1415.6000000000001,1,1.0,584.4
2500,2500,1904.1000000000001,1,1.0,595.9000000000001
3000,3000,2389.7999999999997,1,1.0,610.1999999999999
4000,4000,3368.5999999999995,1,1.0,631.3999999999999
5000,5000,4344.299999999999,1,1.0,655.6999999999998
6000,6000,5319.199999999999,1,1.0,680.8
7000,7000,6292.099999999999,1,0.0,707.9000000000002
8000,8000,7272.499999999998,1,1.0,727.5000000000003
9000,9000,8243.699999999995,1,1.0,756.3000000000003
10000,10000,9220.899999999996,1,1.0,779.1000000000003
