steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
101,1,1.0,101,1.0,1,0.0
202,2,0.0,101,-1.0,1,2.0
303,3,-1.0,101,-1.0,1,4.0
404,4,-2.0,101,-1.0,1,6.0
505,5,-1.0,101,1.0,2,6.0
606,6,0.0,101,1.0,3,6.0
707,7,-1.0,101,-1.0,3,8.0
808,8,0.0,101,1.0,4,8.0
909,9,-1.0,101,-1.0,4,10.0
1010,10,-2.0,101,-1.0,4,12.0
1212,12,-2.0,101,1.0,5,14.0
1414,14,-2.0,101,1.0,6,16.0
1717,17,-3.0,101,-1.0,7,20.0
2020,20,-2.0,101,1.0,9,22.0
2525,25,-5.0,101,-1.0,10,30.0
3030,30,0.0,101,1.0,15,30.0
4040,40,-4.0,101,-1.0,18,44.0
5050,50,-8.0,101,1.0,21,58.0
6060,60,-8.0,101,-1.0,26,68.0
7070,70,-4.0,101,1.0,33,74.0
8080,80,-4.0,101,1.0,38,84.0
9090,90,-4.0,101,1.0,43,94.0
10100,100,-4.0,101,-1.0,48,104.0
12120,120,-6.0,101,-1.0,57,126.0
14140,140,-2.0,101,1.0,69,142.0
17170,170,-6.0,101,1.0,82,176.0
20200,200,-2.0,101,1.0,99,202.0
25250,250,-6.0,101,1.0,122,256.0
30300,300,-12.0,101,-1.0,144,312.0
40400,400,-22.0,101,-1.0,189,422.0
50500,500,-14.0,101,-1.0,243,514.0
60600,600,-10.0,101,1.0,295,610.0
70700,700,-14.0,101,-1.0,343,714.0
80800,800,-10.0,101,1.0,395,810.0
90900,900,-12.0,101,-1.0,444,912.0
101000,1000,-28.0,101,-1.0,486,1028.0
121200,1200,-16.0,101,-1.0,592,1216.0
141400,1400,-22.0,101,-1.0,689,1422.0
171700,1700,-26.0,101,1.0,837,1726.0
202000,2000,-24.0,101,1.0,988,2024.0
252500,2500,-60.0,101,-1.0,1220,2560.0
303000,3000,-92.0,101,-1.0,1454,3092.0
404000,4000,-36.0,101,1.0,1982,4036.0
505000,5000,-30.0,101,1.0,2485,5030.0
606000,6000,-10.0,101,1.0,2995,6010.0
707000,7000,-36.0,101,-1.0,3482,7036.0
808000,8000,-30.0,101,1.0,3985,8030.0
909000,9000,-24.0,101,-1.0,4488,9024.0
1010000,10000,-2.0,101,1.0,4999,10002.0
1212000,12000,28.0,101,-1.0,6014,11972.0
1414000,14000,24.0,101,-1.0,7012,13976.0
1717000,17000,40.0,101,-1.0,8520,16960.0
2020000,20000,118.0,101,-1.0,10059,19882.0
2525000,25000,252.0,101,1.0,12626,24748.0
3030000,30000,192.0,101,1.0,15096,29808.0
4040000,40000,-4.0,101,1.0,19998,40004.0
