steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-6.0,20,-6.0,0.0
60,3,-8.0,20,-2.0,2.0
80,4,-14.0,20,-6.0,4.0
100,5,-10.0,20,4.0,4.0
120,6,-16.0,20,-6.0,6.0
140,7,-22.0,20,-6.0,8.0
160,8,-18.0,20,4.0,8.0
180,9,-16.0,20,2.0,10.0
200,10,-16.0,20,0.0,10.0
240,12,-18.0,20,2.0,14.0
280,14,-22.0,20,-4.0,14.0
340,17,-16.0,20,2.0,16.0
400,20,-28.0,20,-2.0,20.0
500,25,-32.0,20,2.0,24.0
600,30,-36.0,20,2.0,28.0
800,40,-28.0,20,-4.0,42.0
1000,50,-30.0,20,-2.0,52.0
1200,60,-36.0,20,2.0,62.0
1400,70,-14.0,20,-2.0,76.0
1600,80,-18.0,20,0.0,88.0
1800,90,-12.0,20,4.0,94.0
2000,100,16.0,20,8.0,102.0
2400,120,26.0,20,0.0,120.0
2800,140,38.0,20,4.0,138.0
3400,170,38.0,20,2.0,174.0
4000,200,6.0,20,-6.0,202.0
5000,250,38.0,20,2.0,256.0
6000,300,36.0,20,2.0,298.0
8000,400,100.0,20,2.0,392.0
10000,500,68.0,20,-4.0,498.0
12000,600,120.0,20,4.0,580.0
14000,700,142.0,20,4.0,688.0
16000,800,194.0,20,6.0,790.0
18000,900,164.0,20,-6.0,902.0
20000,1000,176.0,20,-4.0,994.0
24000,1200,76.0,20,0.0,1206.0
28000,1400,122.0,20,0.0,1408.0
34000,1700,198.0,20,0.0,1738.0
40000,2000,138.0,20,2.0,2054.0
50000,2500,142.0,20,2.0,2600.0
60000,3000,-130.0,20,-2.0,3084.0
80000,4000,-204.0,20,2.0,4054.0
100000,5000,178.0,20,12.0,4928.0
120000,6000,310.0,20,-2.0,5786.0
140000,7000,514.0,20,2.0,6594.0
160000,8000,850.0,20,0.0,7160.0
180000,9000,1652.0,20,2.0,7506.0
200000,10000,2064.0,20,0.0,7868.0
240000,12000,3876.0,20,-10.0,8442.0
280000,14000,5336.0,20,0.0,8732.0
340000,17000,7780.0,20,6.0,9258.0
400000,20000,10556.0,20,-6.0,9686.0
500000,25000,14796.0,20,4.0,10544.0
600000,30000,18514.0,20,0.0,11532.0
800000,40000,27008.0,20,0.0,13002.0
1000000,50000,35504.0,20,-6.0,14674.0
