steps,episode,total_return,episode_len,episode_return
100,1,1.1,100,1.1
200,2,2.1,100,1.0
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.2,100,1.1
1400,14,14.299999999999999,100,1.0
1700,17,17.299999999999997,100,1.0
2000,20,20.4,100,1.0
2500,25,25.4,100,1.0
3000,30,30.5,100,1.0
4000,40,40.7,100,1.0
5000,50,50.900000000000006,100,1.0
6000,60,61.30000000000001,100,1.1
7000,70,71.30000000000001,100,1.0
8000,80,81.5,100,1.1
9000,90,91.69999999999999,100,1.1
10000,100,101.89999999999998,100,1.0
12000,120,122.39999999999995,100,1.0
14000,140,143.59999999999988,100,1.0
17000,170,174.49999999999983,100,1.0
20000,200,205.79999999999976,100,1.0
25000,250,257.7999999999996,100,1.0
30000,300,309.80000000000007,100,1.0
40000,400,416.30000000000155,100,1.0
50000,500,523.1000000000031,100,1.0
60000,600,631.700000000005,100,1.1
70000,700,741.0000000000072,100,1.1
80000,800,850.4000000000093,100,1.1
90000,900,959.9000000000115,100,1.1
100000,1000,1069.500000000009,100,1.1
120000,1200,1288.6999999999916,100,1.1
140000,1400,1507.999999999974,100,1.1
170000,1700,1836.7999999999479,100,1.1
200000,2000,2165.499999999922,100,1.1
250000,2500,2667.1999999999202,100,1.0
300000,3000,3167.1999999999202,100,1.0
400000,4000,4168.699999999919,100,1.0
500000,5000,5169.599999999922,100,1.0
600000,6000,6170.099999999924,100,1.0
