steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-2.0,3,1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,-2.0,3,-1.0,4,12.0
36,12,0.0,3,1.0,6,12.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-1.0,3,1.0,8,18.0
60,20,-2.0,3,1.0,9,22.0
75,25,-3.0,3,-1.0,11,28.0
90,30,-4.0,3,-1.0,13,34.0
120,40,2.0,3,1.0,21,38.0
150,50,2.0,3,-1.0,26,48.0
180,60,2.0,3,-1.0,31,58.0
210,70,0.0,3,1.0,35,70.0
240,80,2.0,3,1.0,41,78.0
270,90,4.0,3,-1.0,47,86.0
300,100,4.0,3,1.0,52,96.0
360,120,-2.0,3,1.0,59,122.0
420,140,-6.0,3,-1.0,67,146.0
510,170,2.0,3,-1.0,86,168.0
600,200,0.0,3,1.0,100,200.0
750,250,8.0,3,1.0,129,242.0
900,300,12.0,3,1.0,156,288.0
1200,400,14.0,3,-1.0,207,386.0
1500,500,10.0,3,1.0,255,490.0
1800,600,12.0,3,-1.0,306,588.0
2100,700,20.0,3,1.0,360,680.0
2400,800,6.0,3,1.0,403,794.0
2700,900,0.0,3,-1.0,450,900.0
3000,1000,-4.0,3,-1.0,498,1004.0
3600,1200,50.0,3,1.0,625,1150.0
4200,1400,110.0,3,1.0,755,1290.0
5100,1700,256.0,3,-1.0,978,1444.0
6000,2000,430.0,3,1.0,1215,1570.0
7500,2500,790.0,3,1.0,1645,1710.0
9000,3000,1226.0,3,1.0,2113,1774.0
12000,4000,2172.0,3,1.0,3086,1828.0
15000,5000,3110.0,3,1.0,4055,1890.0
18000,6000,4062.0,3,1.0,5031,1938.0
21000,7000,5008.0,3,1.0,6004,1992.0
24000,8000,5964.0,3,1.0,6982,2036.0
27000,9000,6898.0,3,1.0,7949,2102.0
30000,10000,7854.0,3,1.0,8927,2146.0
36000,12000,9768.0,3,1.0,10884,2232.0
42000,14000,11672.0,3,1.0,12836,2328.0
51000,17000,14532.0,3,1.0,15766,2468.0
60000,20000,17352.0,3,1.0,18676,2648.0
75000,25000,22082.0,3,1.0,23541,2918.0
90000,30000,26852.0,3,1.0,28426,3148.0
