steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,0.0,1,1.0,2.0
3,3,1.0,1,1.0,2.0
4,4,0.0,1,-1.0,4.0
5,5,-1.0,1,-1.0,6.0
6,6,-2.0,1,-1.0,8.0
7,7,-1.0,1,1.0,8.0
8,8,-2.0,1,-1.0,10.0
9,9,-1.0,1,1.0,10.0
10,10,-2.0,1,-1.0,12.0
12,12,-4.0,1,-1.0,16.0
14,14,-6.0,1,-1.0,20.0
17,17,-9.0,1,-1.0,26.0
20,20,-12.0,1,-1.0,32.0
25,25,-15.0,1,-1.0,40.0
30,30,-20.0,1,-1.0,50.0
40,40,-28.0,1,-1.0,68.0
50,50,-34.0,1,1.0,84.0
60,60,-42.0,1,-1.0,102.0
70,70,-48.0,1,1.0,118.0
80,80,-58.0,1,-1.0,138.0
90,90,-66.0,1,-1.0,156.0
100,100,-74.0,1,-1.0,174.0
120,120,-90.0,1,-1.0,210.0
140,140,-108.0,1,1.0,248.0
170,170,-126.0,1,-1.0,296.0
200,200,-156.0,1,-1.0,356.0
250,250,-190.0,1,-1.0,440.0
300,300,-238.0,1,-1.0,538.0
400,400,-326.0,1,-1.0,726.0
500,500,-394.0,1,-1.0,894.0
600,600,-476.0,1,-1.0,1076.0
700,700,-554.0,1,-1.0,1254.0
800,800,-630.0,1,1.0,1430.0
900,900,-704.0,1,-1.0,1604.0
1000,1000,-776.0,1,-1.0,1776.0
1200,1200,-932.0,1,-1.0,2132.0
1400,1400,-1094.0,1,-1.0,2494.0
1700,1700,-1328.0,1,-1.0,3028.0
2000,2000,-1566.0,1,-1.0,3566.0
2500,2500,-1914.0,1,1.0,4414.0
3000,3000,-2286.0,1,-1.0,5286.0
4000,4000,-2938.0,1,-1.0,6938.0
5000,5000,-3540.0,1,-1.0,8540.0
6000,6000,-4140.0,1,-1.0,10140.0
7000,7000,-4698.0,1,1.0,11698.0
8000,8000,-5216.0,1,-1.0,13216.0
9000,9000,-5690.0,1,1.0,14690.0
10000,10000,-6200.0,1,-1.0,16200.0
