steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,0.5,1,0.0,1.5
3,3,1.5,1,1.0,1.5
4,4,1.9,1,0.4,2.1
5,5,2.6,1,0.7000000000000001,2.4
6,6,3.5,1,0.9,2.5
7,7,4.3,1,0.8,2.7
8,8,4.6,1,0.30000000000000004,3.4000000000000004
9,9,5.199999999999999,1,0.6000000000000001,3.8000000000000003
10,10,6.1,1,0.9,3.9000000000000004
12,12,7.4,1,0.6000000000000001,4.6
14,14,8.5,1,0.6000000000000001,5.5
17,17,9.700000000000001,1,0.4,7.3
20,20,10.9,1,0.7000000000000001,9.100000000000001
25,25,14.1,1,0.9,10.900000000000002
30,30,16.7,1,0.0,13.300000000000002
40,40,23.999999999999993,1,1.0,16.000000000000004
50,50,30.699999999999996,1,0.6000000000000001,19.3
60,60,36.0,1,1.0,24.0
70,70,40.2,1,0.9,29.8
80,80,44.60000000000001,1,0.5,35.4
90,90,48.00000000000001,1,0.2,42.0
100,100,52.900000000000006,1,0.0,47.1
120,120,63.400000000000006,1,0.9,56.6
140,140,74.2,1,0.4,65.80000000000001
170,170,89.80000000000001,1,0.2,80.2
200,200,103.30000000000001,1,0.6000000000000001,96.7
250,250,128.3,1,0.4,121.69999999999999
300,300,153.29999999999993,1,0.7000000000000001,146.70000000000002
400,400,201.49999999999997,1,0.30000000000000004,198.49999999999997
500,500,255.10000000000002,1,0.5,244.89999999999992
600,600,308.8999999999998,1,0.2,291.1
700,700,359.0999999999999,1,0.2,340.8999999999999
800,800,403.20000000000005,1,0.1,396.7999999999998
900,900,452.8000000000001,1,0.1,447.1999999999997
1000,1000,501.2000000000003,1,1.0,498.79999999999956
1200,1200,628.8999999999967,1,0.9,571.1000000000031
1400,1400,820.9999999999951,1,1.0,579.0000000000047
1700,1700,1112.2999999999947,1,1.0,587.700000000005
2000,2000,1406.1999999999946,1,1.0,593.8000000000051
2500,2500,1892.9999999999948,1,1.0,607.0000000000051
3000,3000,2378.499999999996,1,1.0,621.5000000000053
4000,4000,3363.0999999999967,1,1.0,636.9000000000055
5000,5000,4335.999999999997,1,1.0,664.0000000000055
6000,6000,5310.299999999997,1,1.0,689.7000000000058
7000,7000,6288.999999999999,1,1.0,711.0000000000061
8000,8000,7261.399999999999,1,1.0,738.6000000000062
9000,9000,8230.299999999997,1,1.0,769.7000000000064
10000,10000,9205.4,1,1.0,794.6000000000063
