steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0005,1,0.0005,0.5
2,2,0.0009,1,0.0004,1.1
3,3,0.0011,1,0.0002,1.9000000000000001
4,4,0.0013000000000000002,1,0.0002,2.7
5,5,0.0023,1,0.001,2.7
6,6,0.0027,1,0.0004,3.3000000000000003
7,7,0.0034000000000000002,1,0.0007000000000000001,3.6
8,8,0.0035,1,0.0001,4.5
9,9,0.0043,1,0.0008,4.7
10,10,0.0044,1,0.0001,5.6000000000000005
12,12,0.0059,1,0.0006000000000000001,6.1
14,14,0.0073,1,0.0007000000000000001,6.699999999999999
17,17,0.0097,1,0.0006000000000000001,7.299999999999999
20,20,0.011000000000000001,1,0.0008,8.999999999999998
25,25,0.013000000000000001,1,0.0007000000000000001,12.0
30,30,0.015500000000000002,1,0.0004,14.5
40,40,0.0198,1,0.0002,20.2
50,50,0.023299999999999998,1,0.0001,26.7
60,60,0.028399999999999998,1,0.0009000000000000001,31.600000000000005
70,70,0.0327,1,0.0001,37.30000000000002
80,80,0.0388,1,0.0005,41.20000000000002
90,90,0.04300000000000001,1,0.0006000000000000001,47.00000000000002
100,100,0.048600000000000025,1,0.0009000000000000001,51.40000000000003
120,120,0.05700000000000005,1,0.0005,63.000000000000036
140,140,0.06640000000000004,1,0.0,73.60000000000002
170,170,0.08130000000000007,1,0.0002,88.70000000000003
200,200,0.09730000000000007,1,0.00030000000000000003,102.70000000000005
250,250,0.12380000000000009,1,0.0002,126.20000000000003
300,300,0.14850000000000013,1,0.0009000000000000001,151.49999999999994
400,400,0.20420000000000027,1,0.0004,195.8
500,500,0.25130000000000013,1,0.00030000000000000003,248.69999999999996
600,600,0.29440000000000005,1,0.0002,305.5999999999997
700,700,0.3435,1,0.0,356.49999999999966
800,800,0.3942999999999999,1,0.0005,405.69999999999965
900,900,0.45080000000000003,1,0.0001,449.19999999999976
1000,1000,0.5030000000000001,1,0.0,496.99999999999994
1200,1200,0.6383000000000025,1,0.0008,561.7000000000006
1400,1400,0.7671000000000036,1,0.001,632.9000000000013
1700,1700,1.041500000000001,1,0.001,658.5000000000013
2000,2000,1.3306999999999691,1,0.001,669.3000000000013
2500,2500,1.8184999999999154,1,0.001,681.5000000000011
3000,3000,2.2965999999998634,1,0.001,703.4000000000004
4000,4000,3.120399999999797,1,0.0,879.5999999999985
5000,5000,4.10089999999974,1,0.001,899.0999999999985
6000,6000,4.844300000000031,1,0.00030000000000000003,1155.6999999999935
7000,7000,5.715800000000276,1,0.001,1284.1999999999884
8000,8000,6.692300000000597,1,0.001,1307.6999999999884
9000,9000,7.590200000000834,1,0.001,1409.7999999999815
10000,10000,8.271100000000773,1,0.0008,1728.8999999999921
