steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.004333333333333334,30,-0.004333333333333334,1,0
60,2,-0.0076666666666666645,30,-0.003333333333333334,2,0
90,3,-0.013333333333333327,30,-0.005666666666666666,3,0
120,4,-0.016999999999999998,30,-0.0036666666666666675,4,0
150,5,-0.021000000000000015,30,-0.004000000000000001,5,0
180,6,-0.025000000000000033,30,-0.004000000000000001,6,0
210,7,-0.03033333333333339,30,-0.005333333333333333,7,0
240,8,-0.03600000000000003,30,-0.005666666666666666,8,0
270,9,-0.04033333333333334,30,-0.004333333333333334,9,0
300,10,-0.044333333333333315,30,-0.004000000000000001,10,0
360,12,-0.05299999999999993,30,-0.004000000000000001,12,0
420,14,-0.06466666666666657,30,-0.006666666666666665,14,0
510,17,-0.08033333333333346,30,-0.005333333333333333,17,0
600,20,-0.09600000000000036,30,-0.004333333333333334,20,0
750,25,-0.12200000000000075,30,-0.0036666666666666675,25,0
900,30,-0.14633333333333354,30,-0.005333333333333333,30,0
1200,40,-0.1949999999999989,30,-0.004666666666666667,40,0
1500,50,-0.24733333333333082,30,-0.004666666666666667,50,0
1800,60,-0.30033333333333356,30,-0.006333333333333332,60,0
2100,70,-0.3480000000000029,30,-0.004666666666666667,70,0
2400,80,-0.39933333333333915,30,-0.004333333333333334,80,0
2700,90,-0.44800000000000856,30,-0.005,90,0
3000,100,-0.4950000000000112,30,-0.003333333333333334,100,0
3600,120,-0.5900000000000015,30,-0.005666666666666666,120,0
4200,140,-0.6876666666666574,30,-0.005333333333333333,140,0
5100,170,-0.8439999999999735,30,-0.003333333333333334,170,0
6000,200,-0.9819999999999584,30,-0.005666666666666666,200,0
7500,250,-1.2313333333332643,30,-0.0036666666666666675,250,0
9000,300,-1.4753333333332375,30,-0.005,300,0
12000,400,-1.9593333333331842,30,-0.005,400,0
15000,500,-2.4416666666664644,30,-0.004666666666666667,500,0
18000,600,-2.918666666666412,30,-0.004333333333333334,600,0
21000,700,-3.375333333333028,30,-0.004666666666666667,700,0
24000,800,-3.764999999999652,30,-0.0036666666666666675,800,0
27000,900,-4.151333333333144,30,-0.002666666666666667,900,0
30000,1000,-4.519333333333594,30,-0.003333333333333334,1000,0
36000,1200,-5.500666666668127,30,-0.005,1200,0
42000,1400,-6.448666666669285,30,-0.0030000000000000005,1400,0
51000,1700,-7.730666666670852,30,-0.004333333333333334,1700,0
60000,2000,-8.888333333338933,30,-0.003333333333333334,2000,0
75000,2500,-10.83066666667464,30,-0.004000000000000001,2500,0
90000,3000,-12.85800000001045,30,-0.005666666666666666,3000,0
120000,4000,-17.299666666682544,30,-0.004666666666666667,4000,0
150000,5000,-21.581333333354443,30,-0.0036666666666666675,5000,0
180000,6000,-26.488000000027107,30,-0.004000000000000001,6000,0
210000,7000,-31.054000000032687,30,-0.003333333333333334,7000,0
240000,8000,-36.50366666665801,30,-0.005333333333333333,8000,0
270000,9000,-42.339333333269614,30,-0.005999999999999999,9000,0
300000,10000,-47.29133333322289,30,-0.005333333333333333,10000,0
