steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.0035,20,-0.0035,1,0
40,2,-0.008500000000000004,20,-0.005000000000000001,2,0
60,3,-0.013000000000000008,20,-0.0045000000000000005,3,0
80,4,-0.017500000000000012,20,-0.0045000000000000005,4,0
100,5,-0.023000000000000017,20,-0.005500000000000001,5,0
120,6,-2.011897451543301,20,-1.9888974515433009,6,0
140,7,-2.0173974515433026,20,-0.005500000000000001,7,0
160,8,-2.0223974515433043,20,-0.005000000000000001,8,0
180,9,-2.026897451543306,20,-0.0045000000000000005,9,0
200,10,-2.0318974515433075,20,-0.005000000000000001,10,0
240,12,-2.0433974515433113,20,-0.004,12,0
280,14,-2.0523974515433143,20,-0.005000000000000001,13,0
340,17,-2.0713974515433207,20,-0.007000000000000003,15,0
400,20,-2.0888974515433265,20,-0.0045000000000000005,18,0
500,25,-1.9099728628391264,20,-0.005000000000000001,22,0
600,30,-1.9359728628391235,20,-0.006500000000000002,27,0
800,40,-3.3119453633486273,20,-0.005500000000000001,37,0
1000,50,-3.367945363348646,20,-0.0035,46,0
1200,60,-3.3625742260182245,20,-0.006500000000000002,56,0
1400,70,-3.6347428837804587,20,-0.006000000000000002,66,0
1600,80,-3.218217068112574,20,0.414302438691091,75,0
1800,90,-4.002539728441768,20,-0.007000000000000003,84,0
2000,100,-2.3218617143574374,20,1.8051834820751267,93,0
2400,120,-3.661464084727511,20,-0.006000000000000002,113,0
2800,140,-6.606387823103447,20,-0.006500000000000002,131,0
3400,170,-5.743223135427639,20,-0.005500000000000001,160,0
4000,200,-6.4400943340901575,20,-0.0045000000000000005,189,0
5000,250,-3.7806066824250695,20,-0.006000000000000002,237,0
6000,300,-11.577128003388754,20,-0.007000000000000003,284,0
8000,400,-12.553382869100686,20,-0.006000000000000002,381,0
10000,500,-3.1556757603077203,20,-0.004,474,0
12000,600,-6.820650511900577,20,-0.005500000000000001,566,0
14000,700,-6.913149835109917,20,-0.0035,661,0
16000,800,-4.660434585629395,20,-0.005000000000000001,756,0
18000,900,-2.909628388187029,20,-0.004,852,0
20000,1000,-1.3362965382933079,20,-0.005000000000000001,948,0
24000,1200,3.355412461984126,20,-0.006000000000000002,1140,0
28000,1400,0.3743495156876224,20,0.27506026864750477,1317,0
34000,1700,3.757366968958167,20,-0.006500000000000002,1598,0
40000,2000,8.747015370506574,20,0.4282276523261362,1875,0
50000,2500,-4.692307978489066,20,0.8422903336243958,2339,0
60000,3000,-10.93790851908284,20,-0.240747926783618,2807,0
80000,4000,-11.343283731627505,20,-0.004,3729,0
100000,5000,1.6913243524691033,20,-0.005500000000000001,4614,0
120000,6000,-22.606287404090992,20,2.2840422134610123,5516,0
140000,7000,-32.98044629315147,20,-0.004,6421,0
160000,8000,-68.32201317173241,20,-0.6743570532379034,7322,0
180000,9000,-75.37634626917631,20,-0.005500000000000001,8217,0
200000,10000,-69.08278340063967,20,-0.006500000000000002,9130,0
