steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,-1.0,2,-1.0,0,2.0
4,2,-2.0,2,-1.0,0,4.0
6,3,-1.0,2,1.0,1,4.0
8,4,-2.0,2,-1.0,1,6.0
10,5,-3.0,2,-1.0,1,8.0
12,6,-2.0,2,1.0,2,8.0
14,7,-1.0,2,1.0,3,8.0
16,8,-2.0,2,-1.0,3,10.0
18,9,-1.0,2,1.0,4,10.0
20,10,-2.0,2,-1.0,4,12.0
24,12,-2.0,2,1.0,5,14.0
28,14,0.0,2,1.0,7,14.0
34,17,-1.0,2,-1.0,8,18.0
40,20,0.0,2,-1.0,10,20.0
50,25,-1.0,2,-1.0,12,26.0
60,30,-4.0,2,-1.0,13,34.0
80,40,-4.0,2,-1.0,18,44.0
100,50,-6.0,2,-1.0,22,56.0
120,60,-6.0,2,-1.0,27,66.0
140,70,-6.0,2,1.0,32,76.0
160,80,-4.0,2,-1.0,38,84.0
180,90,-4.0,2,1.0,43,94.0
200,100,2.0,2,1.0,51,98.0
240,120,6.0,2,1.0,63,114.0
280,140,2.0,2,1.0,71,138.0
340,170,-4.0,2,1.0,83,174.0
400,200,-6.0,2,-1.0,97,206.0
500,250,4.0,2,-1.0,127,246.0
600,300,6.0,2,1.0,153,294.0
800,400,-8.0,2,-1.0,196,408.0
1000,500,-6.0,2,-1.0,247,506.0
1200,600,40.0,2,1.0,320,560.0
1400,700,110.0,2,1.0,405,590.0
1600,800,178.0,2,-1.0,489,622.0
1800,900,268.0,2,1.0,584,632.0
2000,1000,354.0,2,1.0,677,646.0
2400,1200,528.0,2,1.0,864,672.0
2800,1400,720.0,2,1.0,1060,680.0
3400,1700,1002.0,2,1.0,1351,698.0
4000,2000,1286.0,2,1.0,1643,714.0
5000,2500,1760.0,2,1.0,2130,740.0
6000,3000,2242.0,2,1.0,2621,758.0
8000,4000,3204.0,2,1.0,3602,796.0
10000,5000,4152.0,2,1.0,4576,848.0
12000,6000,5090.0,2,1.0,5545,910.0
14000,7000,6042.0,2,-1.0,6521,958.0
16000,8000,6988.0,2,1.0,7494,1012.0
18000,9000,7954.0,2,1.0,8477,1046.0
20000,10000,8916.0,2,1.0,9458,1084.0
