steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,4.0,3,1.0,4,0.0
15,5,3.0,3,-1.0,4,2.0
18,6,2.0,3,-1.0,4,4.0
21,7,3.0,3,1.0,5,4.0
24,8,4.0,3,1.0,6,4.0
27,9,5.0,3,1.0,7,4.0
30,10,6.0,3,1.0,8,4.0
36,12,8.0,3,1.0,10,4.0
42,14,6.0,3,-1.0,10,8.0
51,17,5.0,3,1.0,11,12.0
60,20,4.0,3,1.0,12,16.0
75,25,5.0,3,1.0,15,20.0
90,30,4.0,3,1.0,17,26.0
120,40,2.0,3,1.0,21,38.0
150,50,0.0,3,-1.0,25,50.0
180,60,0.0,3,-1.0,30,60.0
210,70,4.0,3,-1.0,37,66.0
240,80,2.0,3,1.0,41,78.0
270,90,6.0,3,1.0,48,84.0
300,100,6.0,3,1.0,53,94.0
360,120,-4.0,3,1.0,58,124.0
420,140,-6.0,3,-1.0,67,146.0
510,170,-2.0,3,-1.0,84,172.0
600,200,0.0,3,1.0,100,200.0
750,250,-4.0,3,-1.0,123,254.0
900,300,6.0,3,1.0,153,294.0
1200,400,30.0,3,1.0,215,370.0
1500,500,14.0,3,1.0,257,486.0
1800,600,2.0,3,-1.0,301,598.0
2100,700,6.0,3,1.0,353,694.0
2400,800,12.0,3,1.0,406,788.0
2700,900,12.0,3,-1.0,456,888.0
3000,1000,36.0,3,-1.0,518,964.0
3600,1200,22.0,3,-1.0,611,1178.0
4200,1400,36.0,3,-1.0,718,1364.0
5100,1700,66.0,3,-1.0,883,1634.0
6000,2000,66.0,3,-1.0,1033,1934.0
7500,2500,90.0,3,1.0,1295,2410.0
9000,3000,132.0,3,1.0,1566,2868.0
12000,4000,230.0,3,1.0,2115,3770.0
15000,5000,366.0,3,1.0,2683,4634.0
18000,6000,470.0,3,1.0,3235,5530.0
21000,7000,590.0,3,1.0,3795,6410.0
24000,8000,678.0,3,1.0,4339,7322.0
27000,9000,742.0,3,-1.0,4871,8258.0
30000,10000,822.0,3,1.0,5411,9178.0
