steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-28.0,1,-1.0,58.0
40,40,-38.0,1,-1.0,78.0
50,50,-46.0,1,-1.0,96.0
60,60,-54.0,1,-1.0,114.0
70,70,-64.0,1,-1.0,134.0
80,80,-72.0,1,-1.0,152.0
90,90,-82.0,1,-1.0,172.0
100,100,-92.0,1,-1.0,192.0
120,120,-102.0,1,-1.0,222.0
140,140,-122.0,1,-1.0,262.0
170,170,-148.0,1,-1.0,318.0
200,200,-170.0,1,-1.0,370.0
250,250,-210.0,1,-1.0,460.0
300,300,-248.0,1,-1.0,548.0
400,400,-330.0,1,-1.0,730.0
500,500,-410.0,1,-1.0,910.0
600,600,-500.0,1,-1.0,1100.0
700,700,-588.0,1,-1.0,1288.0
800,800,-664.0,1,-1.0,1464.0
900,900,-752.0,1,-1.0,1652.0
1000,1000,-840.0,1,1.0,1840.0
1200,1200,-1000.0,1,-1.0,2200.0
1400,1400,-1156.0,1,-1.0,2556.0
1700,1700,-1388.0,1,-1.0,3088.0
2000,2000,-1594.0,1,-1.0,3594.0
2500,2500,-1954.0,1,-1.0,4454.0
3000,3000,-2316.0,1,-1.0,5316.0
4000,4000,-2958.0,1,-1.0,6958.0
5000,5000,-3594.0,1,-1.0,8594.0
6000,6000,-4134.0,1,-1.0,10134.0
7000,7000,-4676.0,1,-1.0,11676.0
8000,8000,-5214.0,1,-1.0,13214.0
9000,9000,-5716.0,1,-1.0,14716.0
10000,10000,-6188.0,1,-1.0,16188.0
