steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.9476585273956271,1,-0.9476585273956271,2.0
2,2,-1.9951550327510363,1,-1.0474965053554093,4.0
3,3,-3.050943402282881,1,-1.0557883695318446,6.0
4,4,-4.247529441550241,1,-1.1965860392673597,8.0
5,5,-5.185596941304558,1,-0.9380674997543168,10.0
6,6,-6.2525189414977,1,-1.0669220001931412,12.0
7,7,-5.2884806516243765,1,0.9640382898733234,12.0
8,8,-4.238505158997071,1,1.049975492627306,12.0
9,9,-5.13128460822859,1,-0.89277944923152,14.0
10,10,-6.0689125052649775,1,-0.9376278970363874,16.0
12,12,-7.939917427312075,1,-0.9902823163905236,20.0
14,14,-9.951491144893073,1,-1.084570065511783,24.0
17,17,-13.11930532969967,1,-1.1211529832308966,30.0
20,20,-11.978039805743101,1,-0.9267243950859101,32.0
25,25,-17.052072662459082,1,-0.9680653161991897,42.0
30,30,-21.831763734655766,1,-0.8615988062618448,52.0
40,40,-30.06769193877572,1,-1.1630044455218866,70.0
50,50,-40.3274206636902,1,-0.9022510652955162,90.0
60,60,-49.70829011655137,1,-1.1225665193289849,110.0
70,70,-57.766622849242275,1,-0.9141587767733417,128.0
80,80,-65.73883281598097,1,-0.9965463834538556,146.0
90,90,-73.51622154690553,1,-0.9153384674122782,164.0
100,100,-75.64094512542135,1,-1.2267020878167645,176.0
120,120,-93.37925906483551,1,-0.9971099981414416,214.0
140,140,-109.69284256363663,1,-1.1196573308428104,250.0
170,170,-134.75446020938506,1,-0.9447040539030294,306.0
200,200,-158.54889426984892,1,-0.9585816679105759,360.0
250,250,-201.74978652973132,1,-0.9313003633483619,454.0
300,300,-234.8510224612261,1,-1.1046187177128728,536.0
400,400,-307.28604308834986,1,-0.9439853214134064,708.0
500,500,-380.3970923552424,1,-1.089165175436967,882.0
600,600,-463.9415899830614,1,-0.9107811164206526,1066.0
700,700,-554.1699395902058,1,-0.9443559735290853,1256.0
800,800,-633.229830681823,1,-1.054849197421478,1434.0
900,900,-712.5001277543602,1,-1.0512502208072179,1612.0
1000,1000,-801.2030402922674,1,-0.9526460014187498,1800.0
1200,1200,-955.8483097689066,1,-0.9528936922871698,2154.0
1400,1400,-1110.6207248128633,1,-1.082464811225057,2508.0
1700,1700,-1349.9893542636573,1,-1.064547893786438,3046.0
2000,2000,-1574.4969697677031,1,-0.8453821240894233,3570.0
2500,2500,-1934.678869955496,1,-0.9836766366257116,4432.0
3000,3000,-2238.061794824278,1,0.9437422828448387,5234.0
4000,4000,-2905.0945224484185,1,0.9292761998373862,6898.0
5000,5000,-3469.950000080935,1,-1.031794505825989,8464.0
6000,6000,-3996.1460808584175,1,-1.0789718293310158,9986.0
7000,7000,-4530.0637793555625,1,-0.8032073618378754,11518.0
8000,8000,-5046.942011279568,1,-0.8061435290734777,13032.0
9000,9000,-5589.0478472769155,1,-0.9898147773120682,14576.0
10000,10000,-6047.745341244944,1,-0.854509057822897,16032.0
