steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1000.0,1,1000.0,0.0
2,2,0.0,1,-1000.0,2.0
3,3,-1000.0,1,-1000.0,4.0
4,4,-2000.0,1,-1000.0,6.0
5,5,-3000.0,1,-1000.0,8.0
6,6,-4000.0,1,-1000.0,10.0
7,7,-5000.0,1,-1000.0,12.0
8,8,-6000.0,1,-1000.0,14.0
9,9,-7000.0,1,-1000.0,16.0
10,10,-8000.0,1,-1000.0,18.0
12,12,-10000.0,1,-1000.0,22.0
14,14,-10000.0,1,-1000.0,24.0
17,17,-11000.0,1,-1000.0,28.0
20,20,-14000.0,1,-1000.0,34.0
25,25,-19000.0,1,-1000.0,44.0
30,30,-20000.0,1,-1000.0,50.0
40,40,-28000.0,1,-1000.0,68.0
50,50,-36000.0,1,-1000.0,86.0
60,60,-46000.0,1,-1000.0,106.0
70,70,-56000.0,1,-1000.0,126.0
80,80,-66000.0,1,-1000.0,146.0
90,90,-74000.0,1,-1000.0,164.0
100,100,-82000.0,1,-1000.0,182.0
120,120,-98000.0,1,-1000.0,218.0
140,140,-114000.0,1,-1000.0,254.0
170,170,-134000.0,1,-1000.0,304.0
200,200,-154000.0,1,-1000.0,354.0
250,250,-198000.0,1,-1000.0,448.0
300,300,-232000.0,1,-1000.0,532.0
400,400,-310000.0,1,-1000.0,710.0
500,500,-390000.0,1,-1000.0,890.0
600,600,-472000.0,1,-1000.0,1072.0
700,700,-552000.0,1,-1000.0,1252.0
800,800,-630000.0,1,-1000.0,1430.0
900,900,-710000.0,1,-1000.0,1610.0
1000,1000,-794000.0,1,-1000.0,1794.0
1200,1200,-942000.0,1,-1000.0,2142.0
1400,1400,-1094000.0,1,-1000.0,2494.0
1700,1700,-1346000.0,1,-1000.0,3046.0
2000,2000,-1586000.0,1,-1000.0,3586.0
2500,2500,-1968000.0,1,1000.0,4468.0
3000,3000,-2374000.0,1,-1000.0,5374.0
4000,4000,-3198000.0,1,-1000.0,7198.0
5000,5000,-3970000.0,1,-1000.0,8970.0
6000,6000,-4744000.0,1,-1000.0,10744.0
7000,7000,-5554000.0,1,1000.0,12554.0
8000,8000,-6370000.0,1,-1000.0,14370.0
9000,9000,-7182000.0,1,-1000.0,16182.0
10000,10000,-7978000.0,1,-1000.0,17978.0
