steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-6.0,20,-6.0,0.0
40,2,0.0,20,6.0,0.0
60,3,6.0,20,6.0,0.0
80,4,6.0,20,0.0,2.0
100,5,6.0,20,0.0,2.0
120,6,-4.0,20,-10.0,4.0
140,7,-2.0,20,2.0,4.0
160,8,-12.0,20,-10.0,6.0
180,9,-22.0,20,-10.0,8.0
200,10,-14.0,20,8.0,10.0
240,12,-6.0,20,6.0,12.0
280,14,-10.0,20,-2.0,14.0
340,17,-14.0,20,-6.0,16.0
400,20,-12.0,20,6.0,20.0
500,25,4.0,20,4.0,24.0
600,30,28.0,20,4.0,28.0
800,40,28.0,20,-10.0,42.0
1000,50,22.0,20,2.0,56.0
1200,60,18.0,20,-4.0,64.0
1400,70,-12.0,20,-2.0,74.0
1600,80,-20.0,20,-2.0,82.0
1800,90,-32.0,20,0.0,96.0
2000,100,-36.0,20,4.0,108.0
2400,120,-26.0,20,8.0,128.0
2800,140,-34.0,20,-2.0,142.0
3400,170,-44.0,20,-4.0,174.0
4000,200,-62.0,20,2.0,206.0
5000,250,-96.0,20,-4.0,254.0
6000,300,-88.0,20,0.0,310.0
8000,400,-64.0,20,-6.0,410.0
10000,500,-36.0,20,2.0,512.0
12000,600,18.0,20,-2.0,618.0
14000,700,44.0,20,2.0,706.0
16000,800,44.0,20,-8.0,814.0
18000,900,46.0,20,0.0,902.0
20000,1000,32.0,20,6.0,1016.0
24000,1200,28.0,20,0.0,1200.0
28000,1400,20.0,20,-2.0,1396.0
34000,1700,126.0,20,6.0,1680.0
40000,2000,140.0,20,-4.0,1982.0
50000,2500,112.0,20,2.0,2512.0
60000,3000,266.0,20,8.0,2988.0
80000,4000,242.0,20,0.0,3908.0
100000,5000,206.0,20,-6.0,4932.0
120000,6000,562.0,20,4.0,5918.0
140000,7000,562.0,20,-10.0,6872.0
160000,8000,860.0,20,0.0,7752.0
180000,9000,1010.0,20,2.0,8674.0
200000,10000,1104.0,20,-10.0,9626.0
