steps,episode,total_return,episode_len,episode_return,total_regret
100,1,4.0,100,4.0,0.0
200,2,-8.0,100,-12.0,2.0
300,3,-16.0,100,-8.0,2.0
400,4,-10.0,100,6.0,2.0
500,5,-16.0,100,-6.0,4.0
600,6,-4.0,100,12.0,6.0
700,7,-12.0,100,-8.0,6.0
800,8,-8.0,100,4.0,6.0
900,9,-18.0,100,-10.0,8.0
1000,10,-24.0,100,-6.0,8.0
1200,12,-34.0,100,-8.0,12.0
1400,14,-20.0,100,-2.0,14.0
1700,17,-24.0,100,-26.0,18.0
2000,20,10.0,100,0.0,20.0
2500,25,42.0,100,4.0,24.0
3000,30,56.0,100,16.0,26.0
4000,40,38.0,100,10.0,44.0
5000,50,16.0,100,6.0,54.0
6000,60,42.0,100,8.0,62.0
7000,70,62.0,100,18.0,70.0
8000,80,46.0,100,-12.0,82.0
9000,90,8.0,100,-2.0,94.0
10000,100,22.0,100,-6.0,106.0
12000,120,44.0,100,14.0,118.0
14000,140,98.0,100,-2.0,138.0
17000,170,92.0,100,10.0,170.0
20000,200,42.0,100,6.0,210.0
25000,250,2.0,100,0.0,258.0
30000,300,-10.0,100,-14.0,308.0
40000,400,-128.0,100,8.0,404.0
50000,500,-94.0,100,-10.0,496.0
60000,600,-158.0,100,10.0,598.0
70000,700,-134.0,100,-2.0,682.0
80000,800,-142.0,100,14.0,788.0
90000,900,-222.0,100,2.0,872.0
100000,1000,-182.0,100,4.0,970.0
120000,1200,-146.0,100,10.0,1160.0
140000,1400,-36.0,100,16.0,1346.0
170000,1700,38.0,100,2.0,1642.0
200000,2000,170.0,100,0.0,1936.0
250000,2500,392.0,100,0.0,2432.0
300000,3000,524.0,100,-6.0,2940.0
400000,4000,596.0,100,6.0,3966.0
500000,5000,656.0,100,6.0,4996.0
600000,6000,302.0,100,16.0,6056.0
700000,7000,1064.0,100,8.0,7034.0
800000,8000,1418.0,100,14.0,8026.0
900000,9000,1612.0,100,-2.0,9006.0
1000000,10000,1542.0,100,14.0,9992.0
